datetime,ping
2020-07-08 17:30:32.462568,79.103
2020-07-08 17:30:32.472580,69.161
2020-07-08 17:30:32.482591,58.960
2020-07-08 17:30:32.492594,48.547
2020-07-08 17:30:32.502603,58.081
2020-07-08 17:30:32.512601,48.492
2020-07-08 17:30:32.522599,44.731
2020-07-08 17:30:32.532597,34.928
2020-07-08 17:30:32.542621,40.713
2020-07-08 17:30:32.552636,33.417
2020-07-08 17:30:32.562684,41.529
2020-07-08 17:30:32.572668,34.664
2020-07-08 17:30:32.582623,44.529
2020-07-08 17:30:32.592604,45.585
2020-07-08 17:30:32.604052,42.574
2020-07-08 17:30:32.612621,33.522
2020-07-08 17:30:32.622629,45.496
2020-07-08 17:30:32.632579,34.760
2020-07-08 17:30:32.642593,45.556
2020-07-08 17:30:32.652599,34.464
2020-07-08 17:30:32.662641,45.075
2020-07-08 17:30:32.672591,33.107
2020-07-08 17:30:32.682627,44.929
2020-07-08 17:30:32.692582,34.264
2020-07-08 17:30:32.702642,46.228
2020-07-08 17:30:32.712597,34.643
2020-07-08 17:30:32.722642,44.673
2020-07-08 17:30:32.732594,34.058
2020-07-08 17:30:32.743646,42.893
2020-07-08 17:30:32.752631,33.648
2020-07-08 17:30:32.762634,45.796
2020-07-08 17:30:32.772591,34.344
2020-07-08 17:30:32.782660,57.487
2020-07-08 17:30:32.792593,47.306
2020-07-08 17:30:32.802599,44.858
2020-07-08 17:30:32.812610,34.362
2020-07-08 17:30:32.822639,44.901
2020-07-08 17:30:32.832580,35.009
2020-07-08 17:30:32.842601,44.096
2020-07-08 17:30:32.852619,35.304
2020-07-08 17:30:32.862640,46.109
2020-07-08 17:30:32.872597,35.058
2020-07-08 17:30:32.882636,44.075
2020-07-08 17:30:32.892599,34.189
2020-07-08 17:30:32.902636,46.457
2020-07-08 17:30:32.912585,35.440
2020-07-08 17:30:32.922638,43.379
2020-07-08 17:30:32.935007,32.494
2020-07-08 17:30:32.942615,46.002
2020-07-08 17:30:32.952585,34.789
2020-07-08 17:30:32.962642,44.930
2020-07-08 17:30:32.972579,34.312
2020-07-08 17:30:32.982646,44.107
2020-07-08 17:30:32.992590,33.117
2020-07-08 17:30:33.102632,45.297
2020-07-08 17:30:33.112593,35.413
2020-07-08 17:30:33.122575,42.905
2020-07-08 17:30:33.12584,31.475
2020-07-08 17:30:33.132605,33.930
2020-07-08 17:30:33.142598,44.418
2020-07-08 17:30:33.152602,34.163
2020-07-08 17:30:33.162982,43.847
2020-07-08 17:30:33.172626,31.402
2020-07-08 17:30:33.182626,45.001
2020-07-08 17:30:33.192591,34.765
2020-07-08 17:30:33.202597,45.381
2020-07-08 17:30:33.212583,34.298
2020-07-08 17:30:33.222643,45.324
2020-07-08 17:30:33.22619,44.449
2020-07-08 17:30:33.232589,35.170
2020-07-08 17:30:33.242593,46.145
2020-07-08 17:30:33.252594,35.199
2020-07-08 17:30:33.262653,56.925
2020-07-08 17:30:33.2635,46.080
2020-07-08 17:30:33.272594,46.595
2020-07-08 17:30:33.282637,46.775
2020-07-08 17:30:33.292585,36.183
2020-07-08 17:30:33.302591,45.177
2020-07-08 17:30:33.312627,36.690
2020-07-08 17:30:33.322585,44.490
2020-07-08 17:30:33.32592,34.878
2020-07-08 17:30:33.332598,31.689
2020-07-08 17:30:33.342619,47.397
2020-07-08 17:30:33.352581,36.600
2020-07-08 17:30:33.362663,45.306
2020-07-08 17:30:33.372593,34.535
2020-07-08 17:30:33.382720,45.684
2020-07-08 17:30:33.392571,33.631
2020-07-08 17:30:33.402604,45.185
2020-07-08 17:30:33.412587,34.514
2020-07-08 17:30:33.422678,45.719
2020-07-08 17:30:33.42593,45.182
2020-07-08 17:30:33.432593,34.953
2020-07-08 17:30:33.442637,44.339
2020-07-08 17:30:33.452620,34.981
2020-07-08 17:30:33.462629,45.217
2020-07-08 17:30:33.472580,34.827
2020-07-08 17:30:33.482591,46.175
2020-07-08 17:30:33.492597,35.619
2020-07-08 17:30:33.502639,44.933
2020-07-08 17:30:33.512592,37.254
2020-07-08 17:30:33.522641,43.646
2020-07-08 17:30:33.52594,32.224
2020-07-08 17:30:33.532664,32.188
2020-07-08 17:30:33.542647,43.510
2020-07-08 17:30:33.552652,34.225
2020-07-08 17:30:33.562628,45.132
2020-07-08 17:30:33.572582,33.935
2020-07-08 17:30:33.582629,44.216
2020-07-08 17:30:33.592587,34.800
2020-07-08 17:30:33.602614,54.219
2020-07-08 17:30:33.612584,41.930
2020-07-08 17:30:33.622624,53.367
2020-07-08 17:30:33.62609,57.663
2020-07-08 17:30:33.632578,42.680
2020-07-08 17:30:33.642628,45.186
2020-07-08 17:30:33.652583,34.965
2020-07-08 17:30:33.662593,44.838
2020-07-08 17:30:33.672592,35.137
2020-07-08 17:30:33.682591,44.027
2020-07-08 17:30:33.692621,34.330
2020-07-08 17:30:33.702634,43.942
2020-07-08 17:30:33.712630,34.193
2020-07-08 17:30:33.722642,42.683
2020-07-08 17:30:33.72579,46.814
2020-07-08 17:30:33.732620,34.174
2020-07-08 17:30:33.742639,45.277
2020-07-08 17:30:33.752586,34.639
2020-07-08 17:30:33.762643,46.054
2020-07-08 17:30:33.772591,35.692
2020-07-08 17:30:33.782648,44.545
2020-07-08 17:30:33.792592,34.246
2020-07-08 17:30:33.802636,45.469
2020-07-08 17:30:33.812572,34.088
2020-07-08 17:30:33.822634,54.117
2020-07-08 17:30:33.82617,46.072
2020-07-08 17:30:33.832570,43.910
2020-07-08 17:30:33.842585,45.717
2020-07-08 17:30:33.852577,34.949
2020-07-08 17:30:33.862602,46.597
2020-07-08 17:30:33.872572,45.239
2020-07-08 17:30:33.882695,43.780
2020-07-08 17:30:33.892603,30.905
2020-07-08 17:30:33.902615,41.669
2020-07-08 17:30:33.912617,34.085
2020-07-08 17:30:33.922639,46.246
2020-07-08 17:30:33.92602,33.253
2020-07-08 17:30:33.932569,34.672
2020-07-08 17:30:33.942639,44.805
2020-07-08 17:30:33.952584,31.237
2020-07-08 17:30:33.962622,46.208
2020-07-08 17:30:33.972598,33.923
2020-07-08 17:30:33.982605,44.964
2020-07-08 17:30:33.992589,31.242
2020-07-08 17:30:34.102582,43.851
2020-07-08 17:30:34.112612,34.913
2020-07-08 17:30:34.122587,45.224
2020-07-08 17:30:34.12629,34.607
2020-07-08 17:30:34.132584,35.204
2020-07-08 17:30:34.142591,45.099
2020-07-08 17:30:34.152605,34.682
2020-07-08 17:30:34.162634,45.006
2020-07-08 17:30:34.172589,34.083
2020-07-08 17:30:34.182621,44.356
2020-07-08 17:30:34.192630,33.662
2020-07-08 17:30:34.202635,44.601
2020-07-08 17:30:34.212638,33.966
2020-07-08 17:30:34.222618,46.250
2020-07-08 17:30:34.22649,47.396
2020-07-08 17:30:34.232593,35.184
2020-07-08 17:30:34.242639,44.813
2020-07-08 17:30:34.252590,34.566
2020-07-08 17:30:34.2625,43.757
2020-07-08 17:30:34.262650,44.924
2020-07-08 17:30:34.272592,34.044
2020-07-08 17:30:34.282638,41.779
2020-07-08 17:30:34.292627,29.787
2020-07-08 17:30:34.302621,52.858
2020-07-08 17:30:34.312584,41.128
2020-07-08 17:30:34.322629,45.676
2020-07-08 17:30:34.32591,36.146
2020-07-08 17:30:34.332702,34.979
2020-07-08 17:30:34.342632,46.338
2020-07-08 17:30:34.352570,36.775
2020-07-08 17:30:34.362588,45.423
