datetime,1st-id,1st-rtt,2nd-id,2nd-rtt,3rd-id,3rd-rtt,4th-id,4th-rtt,5th-id,5th-rtt,6th-id,6th-rtt,7th-id,7th-rtt,8th-id,8th-rtt,9th-id,9th-rtt,10th-id,10th-rtt,11th-id,11th-rtt,12th-id,12th-rtt,13th-id,13th-rtt,14th-id,14th-rtt,15th-id,15th-rtt,16th-id,16th-rtt,17th-id,17th-rtt,18th-id,18th-rtt,19th-id,19th-rtt,20th-id,20th-rtt,21th-id,21th-rtt,22th-id,22th-rtt,23th-id,23th-rtt,24th-id,24th-rtt,25th-id,25th-rtt,26th-id,26th-rtt,27th-id,27th-rtt,28th-id,28th-rtt,29th-id,29th-rtt,30th-id,30th-rtt,ping
2020/03/23 20:00:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),77.777,*,,tky001bb10.IIJ.Net(58.138.80.97),77.436,tky001ix15.IIJ.Net(58.138.102.210),79.961,210.173.176.188(210.173.176.188),79.881,*,,*,,*,,*,,*,,*,,*,,*,,52.95.31.181(52.95.31.181),90.335,*,,*,,52.95.30.220(52.95.30.220),53.375,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,97.829
2020/03/23 20:00:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),71.447,*,,tky001bb10.IIJ.Net(58.138.80.97),71.348,tky001ix15.IIJ.Net(58.138.102.210),87.263,210.173.176.188(210.173.176.188),93.238,*,,*,,*,,*,,*,,*,,*,,*,,52.95.31.205(52.95.31.205),96.906,*,,*,,52.95.30.220(52.95.30.220),50.259,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,90.396
2020/03/23 20:00:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),73.044,*,,tky001bb10.IIJ.Net(58.138.88.1),72.939,tky001ix11.IIJ.Net(58.138.102.202),81.847,210.173.176.198(210.173.176.198),81.798,*,,*,,*,,52.95.30.46(52.95.30.46),93.238,*,,*,,*,,*,,52.95.31.215(52.95.31.215),93.026,*,,*,,52.95.30.208(52.95.30.208),40.278,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,88.514
2020/03/23 20:01:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),74.445,*,,tky001bb10.IIJ.Net(58.138.88.1),74.341,tky001ix15.IIJ.Net(58.138.102.210),83.018,210.173.176.188(210.173.176.188),84.786,*,,*,,*,,52.95.30.54(52.95.30.54),82.785,*,,*,,*,,*,,52.95.31.169(52.95.31.169),92.735,*,,*,,52.95.30.220(52.95.30.220),44.628,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,85.109
2020/03/23 20:01:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),73.810,*,,tky001bb10.IIJ.Net(58.138.80.97),75.269,tky001ix11.IIJ.Net(58.138.101.2),82.612,210.173.176.198(210.173.176.198),84.058,*,,*,,*,,52.95.30.32(52.95.30.32),83.867,*,,*,,*,,*,,52.95.31.197(52.95.31.197),93.117,*,,*,,52.95.30.220(52.95.30.220),48.069,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,90.400
2020/03/23 20:01:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),72.544,*,,tky001bb10.IIJ.Net(58.138.80.97),72.379,tky001ix11.IIJ.Net(58.138.101.2),72.924,210.173.176.188(210.173.176.188),72.845,*,,*,,*,,52.95.30.68(52.95.30.68),72.544,*,,*,,*,,*,,52.95.31.167(52.95.31.167),82.312,*,,*,,52.95.30.212(52.95.30.212),40.264,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,88.553
2020/03/23 20:01:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),69.866,*,,tky001bb10.IIJ.Net(58.138.80.97),71.413,tky001ix11.IIJ.Net(58.138.102.202),71.365,210.173.176.198(210.173.176.198),73.740,*,,*,,*,,52.95.30.34(52.95.30.34),73.556,*,,*,,*,,*,,52.95.31.205(52.95.31.205),82.446,*,,*,,52.95.30.220(52.95.30.220),40.632,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,89.554
2020/03/23 20:02:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),71.511,*,,tky001bb10.IIJ.Net(58.138.80.97),71.409,tky001ix15.IIJ.Net(58.138.102.210),73.044,210.173.176.188(210.173.176.188),78.262,*,,*,,*,,52.95.30.30(52.95.30.30),72.796,*,,*,,*,,*,,52.95.31.201(52.95.31.201),82.957,*,,*,,52.95.30.220(52.95.30.220),52.732,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,88.144
2020/03/23 20:02:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),78.218,*,,tky001bb10.IIJ.Net(58.138.80.97),79.764,tky001ix11.IIJ.Net(58.138.101.2),79.665,210.173.176.198(210.173.176.198),79.582,*,,*,,*,,52.95.30.30(52.95.30.30),88.111,*,,*,,*,,*,,52.95.31.179(52.95.31.179),90.208,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,87.697
2020/03/23 20:02:31,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,*,,82.870
