datetime,ping
2020-08-27 13:30:16.327127,78.481
2020-08-27 13:30:16.338730,67.371
2020-08-27 13:30:16.350080,55.638
2020-08-27 13:30:16.361226,52.236
2020-08-27 13:30:16.372401,40.996
2020-08-27 13:30:16.383615,44.594
2020-08-27 13:30:16.395067,52.805
2020-08-27 13:30:16.406258,39.133
2020-08-27 13:30:16.418403,46.034
2020-08-27 13:30:16.428896,54.137
2020-08-27 13:30:31.326544,88.392
2020-08-27 13:30:31.337058,76.258
2020-08-27 13:30:31.347499,64.819
2020-08-27 13:30:31.358365,57.215
2020-08-27 13:30:31.368945,58.611
2020-08-27 13:30:31.379410,50.354
2020-08-27 13:30:31.390027,42.157
2020-08-27 13:30:31.400420,37.671
2020-08-27 13:30:31.410891,55.600
2020-08-27 13:30:31.424365,51.093
2020-08-27 13:30:46.326557,78.104
2020-08-27 13:30:46.339234,65.540
2020-08-27 13:30:46.349820,53.616
2020-08-27 13:30:46.360371,40.941
2020-08-27 13:30:46.370892,74.542
2020-08-27 13:30:46.381336,66.116
2020-08-27 13:30:46.391872,62.433
2020-08-27 13:30:46.402411,60.754
2020-08-27 13:30:46.412994,76.106
2020-08-27 13:30:46.429078,80.176
2020-08-27 13:31:01.326501,77.973
2020-08-27 13:31:01.337083,66.922
2020-08-27 13:31:01.347524,56.800
2020-08-27 13:31:01.358039,45.751
2020-08-27 13:31:01.368617,74.067
2020-08-27 13:31:01.379144,66.866
2020-08-27 13:31:01.389707,62.268
2020-08-27 13:31:01.400723,59.641
2020-08-27 13:31:01.411215,65.721
2020-08-27 13:31:01.421867,101.308
2020-08-27 13:31:16.326762,80.943
2020-08-27 13:31:16.337572,73.552
2020-08-27 13:31:16.348675,58.596
2020-08-27 13:31:16.358833,48.444
2020-08-27 13:31:16.370453,72.222
2020-08-27 13:31:16.385307,66.576
2020-08-27 13:31:16.396962,77.324
2020-08-27 13:31:16.407508,64.916
2020-08-27 13:31:16.420085,73.777
2020-08-27 13:31:16.435579,77.740
2020-08-27 13:31:31.326664,103.720
2020-08-27 13:31:31.337277,95.245
2020-08-27 13:31:31.350353,82.280
2020-08-27 13:31:31.360931,72.350
2020-08-27 13:31:31.371488,59.818
2020-08-27 13:31:31.381968,52.303
2020-08-27 13:31:31.392515,46.013
2020-08-27 13:31:31.403043,40.025
2020-08-27 13:31:31.413493,53.462
2020-08-27 13:31:31.424108,43.603
2020-08-27 13:31:46.326565,83.961
2020-08-27 13:31:46.337221,78.215
2020-08-27 13:31:46.347720,68.416
2020-08-27 13:31:46.358228,55.883
2020-08-27 13:31:46.368708,49.033
2020-08-27 13:31:46.379212,36.720
2020-08-27 13:31:46.389739,62.387
2020-08-27 13:31:46.400243,51.130
2020-08-27 13:31:46.410780,40.459
2020-08-27 13:31:46.426704,40.032
2020-08-27 13:32:01.326512,87.397
2020-08-27 13:32:01.337085,73.369
2020-08-27 13:32:01.347539,62.647
2020-08-27 13:32:01.358145,53.144
2020-08-27 13:32:01.369133,51.859
2020-08-27 13:32:01.380034,67.588
2020-08-27 13:32:01.390528,52.690
2020-08-27 13:32:01.401099,44.737
2020-08-27 13:32:01.411678,60.242
2020-08-27 13:32:01.422327,50.069
2020-08-27 13:32:16.326619,97.625
2020-08-27 13:32:16.337192,86.312
2020-08-27 13:32:16.347658,71.789
2020-08-27 13:32:16.358069,67.337
2020-08-27 13:32:16.368597,56.652
2020-08-27 13:32:16.379105,47.014
2020-08-27 13:32:16.389607,51.688
2020-08-27 13:32:16.400142,46.576
2020-08-27 13:32:16.410687,36.185
2020-08-27 13:32:16.422312,53.851
2020-08-27 13:32:31.326524,78.398
2020-08-27 13:32:31.337208,66.998
2020-08-27 13:32:31.347624,58.993
2020-08-27 13:32:31.358152,44.069
2020-08-27 13:32:31.368667,44.157
2020-08-27 13:32:31.379164,45.645
2020-08-27 13:32:31.389685,34.551
2020-08-27 13:32:31.400271,43.670
2020-08-27 13:32:31.410852,48.779
2020-08-27 13:32:31.421737,38.993
2020-08-27 13:32:46.326549,88.281
2020-08-27 13:32:46.337165,78.202
2020-08-27 13:32:46.348121,63.853
2020-08-27 13:32:46.360041,53.742
2020-08-27 13:32:46.369191,45.853
2020-08-27 13:32:46.382634,73.477
2020-08-27 13:32:46.390183,68.693
2020-08-27 13:32:46.400743,70.567
2020-08-27 13:32:46.411334,67.013
2020-08-27 13:32:46.421907,106.907
2020-08-27 13:33:01.326721,106.333
2020-08-27 13:33:01.340084,94.910
2020-08-27 13:33:01.350610,84.077
2020-08-27 13:33:01.361636,76.141
2020-08-27 13:33:01.372554,63.668
2020-08-27 13:33:01.383046,54.423
2020-08-27 13:33:01.393976,45.577
2020-08-27 13:33:01.404686,33.549
2020-08-27 13:33:01.415090,42.913
2020-08-27 13:33:01.426350,53.076
2020-08-27 13:33:16.326649,79.587
2020-08-27 13:33:16.339749,66.115
2020-08-27 13:33:16.353059,48.590
2020-08-27 13:33:16.363484,37.821
2020-08-27 13:33:16.374110,50.290
2020-08-27 13:33:16.384786,44.837
2020-08-27 13:33:16.398479,51.794
2020-08-27 13:33:16.409046,37.820
2020-08-27 13:33:16.422567,35.817
2020-08-27 13:33:16.430649,38.134
2020-08-27 13:33:31.326609,76.841
2020-08-27 13:33:31.337171,62.416
2020-08-27 13:33:31.349588,52.288
2020-08-27 13:33:31.360071,42.783
2020-08-27 13:33:31.370639,74.260
2020-08-27 13:33:31.381883,65.549
2020-08-27 13:33:31.392316,61.238
2020-08-27 13:33:31.402834,76.836
2020-08-27 13:33:31.413452,71.263
2020-08-27 13:33:31.423725,101.612
2020-08-27 13:33:46.326527,79.748
2020-08-27 13:33:46.338927,66.721
2020-08-27 13:33:46.347487,59.592
2020-08-27 13:33:46.358001,47.849
2020-08-27 13:33:46.368519,74.135
2020-08-27 13:33:46.379145,69.350
2020-08-27 13:33:46.389775,66.176
2020-08-27 13:33:46.405340,53.723
2020-08-27 13:33:46.411311,65.238
2020-08-27 13:33:46.421829,96.312
2020-08-27 13:34:01.326553,78.813
2020-08-27 13:34:01.339654,62.758
2020-08-27 13:34:01.350267,53.703
2020-08-27 13:34:01.364036,47.043
2020-08-27 13:34:01.371354,37.769
2020-08-27 13:34:01.381826,46.778
2020-08-27 13:34:01.393019,35.152
2020-08-27 13:34:01.403502,39.099
2020-08-27 13:34:01.413942,44.097
2020-08-27 13:34:01.425187,33.672
2020-08-27 13:34:16.326567,83.990
2020-08-27 13:34:16.337284,75.249
2020-08-27 13:34:16.348564,63.568
2020-08-27 13:34:16.359138,52.584
2020-08-27 13:34:16.369705,79.259
2020-08-27 13:34:16.380209,68.493
2020-08-27 13:34:16.390771,58.040
2020-08-27 13:34:16.401380,44.965
2020-08-27 13:34:16.412173,37.220
2020-08-27 13:34:16.423115,58.796
2020-08-27 13:34:31.326583,76.657
2020-08-27 13:34:31.337636,64.858
2020-08-27 13:34:31.348120,54.817
2020-08-27 13:34:31.358692,44.884
2020-08-27 13:34:31.369235,65.803
2020-08-27 13:34:31.379850,63.510
2020-08-27 13:34:31.390500,71.859
