datetime,ping
2020-08-27 12:30:18.232482,174.627
2020-08-27 12:30:18.244392,161.884
2020-08-27 12:30:18.256258,150.862
2020-08-27 12:30:18.267492,140.122
2020-08-27 12:30:18.278715,127.461
2020-08-27 12:30:18.289919,117.064
2020-08-27 12:30:18.301089,106.522
2020-08-27 12:30:18.312995,94.505
2020-08-27 12:30:18.324806,82.514
2020-08-27 12:30:18.337323,55.629
2020-08-27 12:30:33.231959,88.658
2020-08-27 12:30:33.242531,77.554
2020-08-27 12:30:33.253036,67.003
2020-08-27 12:30:33.263516,58.465
2020-08-27 12:30:33.274039,75.143
2020-08-27 12:30:33.284634,63.842
2020-08-27 12:30:33.295119,54.696
2020-08-27 12:30:33.305638,45.741
2020-08-27 12:30:33.316189,71.469
2020-08-27 12:30:33.328720,57.607
2020-08-27 12:30:48.231973,105.497
2020-08-27 12:30:48.242486,91.990
2020-08-27 12:30:48.253123,95.133
2020-08-27 12:30:48.263550,86.233
2020-08-27 12:30:48.274098,77.382
2020-08-27 12:30:48.285088,68.948
2020-08-27 12:30:48.295629,56.942
2020-08-27 12:30:48.306184,93.460
2020-08-27 12:30:48.319622,76.658
2020-08-27 12:30:48.327184,82.530
2020-08-27 12:31:03.232010,91.632
2020-08-27 12:31:03.242848,77.186
2020-08-27 12:31:03.253672,68.371
2020-08-27 12:31:03.263897,56.256
2020-08-27 12:31:03.275358,54.190
2020-08-27 12:31:03.285801,49.960
2020-08-27 12:31:03.296356,60.979
2020-08-27 12:31:03.306962,64.491
2020-08-27 12:31:03.317538,56.929
2020-08-27 12:31:03.328092,70.699
2020-08-27 12:31:18.232011,78.874
2020-08-27 12:31:18.244885,66.298
2020-08-27 12:31:18.255485,48.575
2020-08-27 12:31:18.266576,42.655
2020-08-27 12:31:18.277164,72.759
2020-08-27 12:31:18.287664,61.830
2020-08-27 12:31:18.299113,58.910
2020-08-27 12:31:18.308693,51.643
2020-08-27 12:31:18.319214,48.726
2020-08-27 12:31:18.330775,57.766
2020-08-27 12:31:33.232038,82.409
2020-08-27 12:31:33.243005,69.845
2020-08-27 12:31:33.253575,56.957
2020-08-27 12:31:33.264188,47.061
2020-08-27 12:31:33.274750,44.861
2020-08-27 12:31:33.285222,49.807
2020-08-27 12:31:33.298779,51.145
2020-08-27 12:31:33.306284,43.369
2020-08-27 12:31:33.316850,49.282
2020-08-27 12:31:33.328986,41.993
2020-08-27 12:31:48.231997,80.218
2020-08-27 12:31:48.242585,65.876
2020-08-27 12:31:48.255638,59.653
