datetime,ping
2020-08-27 13:01:46.163650,229.184
2020-08-27 13:01:46.175175,234.953
2020-08-27 13:01:46.186836,226.428
2020-08-27 13:01:46.197950,243.045
2020-08-27 13:01:46.208954,235.396
2020-08-27 13:01:46.220704,243.866
2020-08-27 13:01:46.232004,235.404
2020-08-27 13:01:46.243095,240.613
2020-08-27 13:01:46.254539,234.352
2020-08-27 13:01:46.267575,235.700
2020-08-27 13:02:01.162358,230.211
2020-08-27 13:02:01.172974,236.774
2020-08-27 13:02:01.183625,229.806
2020-08-27 13:02:01.194109,232.282
2020-08-27 13:02:01.204728,229.822
2020-08-27 13:02:01.215189,232.709
2020-08-27 13:02:01.225715,234.538
2020-08-27 13:02:01.236750,238.154
2020-08-27 13:02:01.248692,235.079
2020-08-27 13:02:01.263292,232.819
2020-08-27 13:02:16.162880,231.490
2020-08-27 13:02:16.173439,233.165
2020-08-27 13:02:16.184081,224.820
2020-08-27 13:02:16.194564,236.399
2020-08-27 13:02:16.205117,233.282
2020-08-27 13:02:16.215682,236.630
2020-08-27 13:02:16.226166,239.645
2020-08-27 13:02:16.236657,244.709
2020-08-27 13:02:16.247151,234.121
2020-08-27 13:02:16.266288,231.860
2020-08-27 13:02:31.162377,251.303
2020-08-27 13:02:31.175372,245.762
2020-08-27 13:02:31.185933,254.383
2020-08-27 13:02:31.196416,251.150
2020-08-27 13:02:31.206982,259.190
2020-08-27 13:02:31.217551,270.455
2020-08-27 13:02:31.228619,267.516
2020-08-27 13:02:31.239115,264.516
2020-08-27 13:02:31.249626,257.787
2020-08-27 13:02:31.260881,280.246
2020-08-27 13:02:46.162409,47.328
2020-08-27 13:02:46.175676,46.888
2020-08-27 13:02:46.186129,56.707
2020-08-27 13:02:46.196655,48.456
2020-08-27 13:02:46.207225,63.403
2020-08-27 13:02:46.217784,53.166
2020-08-27 13:02:46.228795,44.619
2020-08-27 13:02:46.242313,66.387
2020-08-27 13:02:46.249685,61.230
2020-08-27 13:02:46.259950,53.388
2020-08-27 13:03:01.162432,70.756
2020-08-27 13:03:01.173009,90.235
2020-08-27 13:03:01.183779,81.337
2020-08-27 13:03:01.194051,73.068
2020-08-27 13:03:01.204659,65.608
2020-08-27 13:03:01.215138,54.596
2020-08-27 13:03:01.226064,66.006
2020-08-27 13:03:01.236780,64.539
2020-08-27 13:03:01.247392,57.572
2020-08-27 13:03:01.258091,67.137
2020-08-27 13:03:16.162436,87.411
2020-08-27 13:03:16.172960,82.198
2020-08-27 13:03:16.183533,77.521
2020-08-27 13:03:16.194200,86.583
2020-08-27 13:03:16.204702,84.570
2020-08-27 13:03:16.215665,87.188
2020-08-27 13:03:16.225706,87.457
2020-08-27 13:03:16.236291,86.242
2020-08-27 13:03:16.246737,81.303
2020-08-27 13:03:16.257565,81.607
2020-08-27 13:03:31.162587,86.258
2020-08-27 13:03:31.175283,101.692
2020-08-27 13:03:31.185917,95.275
2020-08-27 13:03:31.196833,92.556
2020-08-27 13:03:31.206959,88.627
2020-08-27 13:03:31.217515,92.775
2020-08-27 13:03:31.228205,99.177
2020-08-27 13:03:31.238928,94.091
2020-08-27 13:03:31.249531,100.054
2020-08-27 13:03:31.260403,97.018
2020-08-27 13:03:46.162397,129.926
2020-08-27 13:03:46.172972,145.577
2020-08-27 13:03:46.183533,141.355
2020-08-27 13:03:46.194040,137.575
2020-08-27 13:03:46.204699,146.352
2020-08-27 13:03:46.215160,136.619
2020-08-27 13:03:46.225652,142.771
2020-08-27 13:03:46.236346,133.606
2020-08-27 13:03:46.247970,135.517
2020-08-27 13:03:46.258493,145.159
2020-08-27 13:04:01.162402,116.348
2020-08-27 13:04:01.173424,108.956
2020-08-27 13:04:01.183829,124.521
2020-08-27 13:04:01.194424,124.897
2020-08-27 13:04:01.204974,114.733
2020-08-27 13:04:01.215480,110.437
2020-08-27 13:04:01.226021,105.100
2020-08-27 13:04:01.236587,128.302
2020-08-27 13:04:01.247066,119.818
2020-08-27 13:04:01.257989,117.523
2020-08-27 13:04:16.162462,119.611
2020-08-27 13:04:16.175295,139.431
2020-08-27 13:04:16.185913,125.783
2020-08-27 13:04:16.196491,127.556
2020-08-27 13:04:16.207061,146.750
2020-08-27 13:04:16.217606,136.792
2020-08-27 13:04:16.228206,124.388
2020-08-27 13:04:16.238691,120.103
2020-08-27 13:04:16.249284,139.883
2020-08-27 13:04:16.259904,126.122
2020-08-27 13:04:31.162466,151.760
2020-08-27 13:04:31.173147,142.284
2020-08-27 13:04:31.183710,132.012
2020-08-27 13:04:31.194405,136.936
2020-08-27 13:04:31.204912,162.967
2020-08-27 13:04:31.215457,151.362
2020-08-27 13:04:31.226049,136.489
2020-08-27 13:04:31.236629,141.310
2020-08-27 13:04:31.247154,125.469
2020-08-27 13:04:31.258217,123.505
2020-08-27 13:04:46.162371,82.234
2020-08-27 13:04:46.175265,77.764
2020-08-27 13:04:46.185834,87.825
2020-08-27 13:04:46.196344,91.722
2020-08-27 13:04:46.206890,82.124
2020-08-27 13:04:46.217414,85.232
2020-08-27 13:04:46.228041,77.594
2020-08-27 13:04:46.238589,78.171
2020-08-27 13:04:46.249222,81.891
2020-08-27 13:04:46.260330,89.570
2020-08-27 13:05:01.162926,91.723
2020-08-27 13:05:01.173603,105.301
2020-08-27 13:05:01.184331,93.084
2020-08-27 13:05:01.195393,95.247
2020-08-27 13:05:01.206338,95.849
2020-08-27 13:05:01.217494,96.361
2020-08-27 13:05:01.228026,92.852
2020-08-27 13:05:01.238538,105.795
2020-08-27 13:05:01.249097,101.215
2020-08-27 13:05:01.259884,95.540
2020-08-27 13:05:16.162417,114.423
2020-08-27 13:05:16.175277,124.912
2020-08-27 13:05:16.185800,114.253
2020-08-27 13:05:16.196439,120.534
2020-08-27 13:05:16.206974,115.575
2020-08-27 13:05:16.217502,119.868
2020-08-27 13:05:16.228129,121.370
2020-08-27 13:05:16.238673,129.973
2020-08-27 13:05:16.249190,120.003
2020-08-27 13:05:16.263194,117.628
2020-08-27 13:05:31.163013,145.990
2020-08-27 13:05:31.176692,157.492
2020-08-27 13:05:31.188435,155.167
2020-08-27 13:05:31.199373,151.646
2020-08-27 13:05:31.210678,148.431
2020-08-27 13:05:31.221281,145.170
2020-08-27 13:05:31.234043,148.359
2020-08-27 13:05:31.244738,149.217
2020-08-27 13:05:31.257064,154.951
2020-08-27 13:05:31.277292,156.629
2020-08-27 13:05:46.162564,95.290
2020-08-27 13:05:46.173190,113.281
2020-08-27 13:05:46.184376,108.396
2020-08-27 13:05:46.197963,102.687
2020-08-27 13:05:46.214996,108.182
2020-08-27 13:05:46.226805,93.269
2020-08-27 13:05:46.238328,92.677
2020-08-27 13:05:46.253283,93.944
2020-08-27 13:05:46.264088,94.749
2020-08-27 13:05:46.275534,90.997
2020-08-27 13:06:01.162695,84.987
2020-08-27 13:06:01.174703,87.400
2020-08-27 13:06:01.187890,92.007
2020-08-27 13:06:01.206205,87.603
2020-08-27 13:06:01.221469,88.083
2020-08-27 13:06:01.234561,98.021
2020-08-27 13:06:01.250673,93.566
2020-08-27 13:06:01.268818,100.506
2020-08-27 13:06:01.276271,93.471
2020-08-27 13:06:01.294579,93.467
2020-08-27 13:06:16.163334,81.622
2020-08-27 13:06:16.175285,92.182
2020-08-27 13:06:16.186984,89.522
2020-08-27 13:06:16.198873,91.873
2020-08-27 13:06:16.209635,87.044
2020-08-27 13:06:16.223049,88.678
2020-08-27 13:06:16.235616,93.718
2020-08-27 13:06:16.247087,98.922
2020-08-27 13:06:16.257473,98.450
2020-08-27 13:06:16.268244,95.839
2020-08-27 13:06:31.162872,84.566
2020-08-27 13:06:31.175278,100.227
2020-08-27 13:06:31.189890,86.318
2020-08-27 13:06:31.198787,80.958
2020-08-27 13:06:31.210547,81.050
2020-08-27 13:06:31.223722,93.171
2020-08-27 13:06:31.234424,87.549
2020-08-27 13:06:31.245957,85.396
2020-08-27 13:06:31.256567,93.717
2020-08-27 13:06:31.269605,86.993
2020-08-27 13:06:46.163156,89.346
2020-08-27 13:06:46.174659,81.155
