datetime,ping
2020-08-28 13:30:16.428650,81.043
2020-08-28 13:30:16.440136,68.783
2020-08-28 13:30:16.451613,57.953
2020-08-28 13:30:16.462777,46.315
2020-08-28 13:30:16.474003,43.013
2020-08-28 13:30:16.485584,31.816
2020-08-28 13:30:16.496825,41.452
2020-08-28 13:30:16.508066,50.281
2020-08-28 13:30:16.519313,34.817
2020-08-28 13:30:16.530242,35.426
2020-08-28 13:30:31.428106,80.012
2020-08-28 13:30:31.440710,69.901
2020-08-28 13:30:31.451232,58.719
2020-08-28 13:30:31.461736,45.624
2020-08-28 13:30:31.472314,45.545
2020-08-28 13:30:31.482853,33.819
2020-08-28 13:30:31.493346,43.760
2020-08-28 13:30:31.503949,60.312
2020-08-28 13:30:31.514445,48.243
2020-08-28 13:30:31.525014,33.392
2020-08-28 13:30:46.428127,81.213
2020-08-28 13:30:46.440829,67.714
2020-08-28 13:30:46.451356,56.414
2020-08-28 13:30:46.462340,46.945
2020-08-28 13:30:46.472998,43.370
2020-08-28 13:30:46.483430,59.861
2020-08-28 13:30:46.493986,51.478
2020-08-28 13:30:46.504616,50.423
2020-08-28 13:30:46.515057,40.162
2020-08-28 13:30:46.525455,50.111
2020-08-28 13:31:01.428122,81.738
2020-08-28 13:31:01.438676,69.915
2020-08-28 13:31:01.449186,59.091
2020-08-28 13:31:01.459703,49.508
2020-08-28 13:31:01.470273,45.422
2020-08-28 13:31:01.480721,36.362
2020-08-28 13:31:01.491283,32.566
2020-08-28 13:31:01.501778,42.249
2020-08-28 13:31:01.512339,50.697
2020-08-28 13:31:01.523779,38.026
2020-08-28 13:31:16.428121,79.782
2020-08-28 13:31:16.438636,66.971
2020-08-28 13:31:16.449632,57.536
2020-08-28 13:31:16.460563,45.940
2020-08-28 13:31:16.471148,44.621
2020-08-28 13:31:16.481717,34.236
2020-08-28 13:31:16.492163,48.095
2020-08-28 13:31:16.502688,37.667
2020-08-28 13:31:16.513206,53.971
2020-08-28 13:31:16.526175,58.307
2020-08-28 13:31:31.428144,80.982
2020-08-28 13:31:31.439012,70.174
2020-08-28 13:31:31.450036,57.641
2020-08-28 13:31:31.460554,48.795
2020-08-28 13:31:31.471489,46.052
2020-08-28 13:31:31.481968,34.525
2020-08-28 13:31:31.492592,43.745
2020-08-28 13:31:31.503081,34.689
2020-08-28 13:31:31.513576,46.033
2020-08-28 13:31:31.524640,40.101
2020-08-28 13:31:46.428166,80.994
2020-08-28 13:31:46.440848,68.601
2020-08-28 13:31:46.453557,56.371
2020-08-28 13:31:46.463967,45.154
2020-08-28 13:31:46.474908,35.926
2020-08-28 13:31:46.492909,34.266
2020-08-28 13:31:46.505649,40.886
2020-08-28 13:31:46.518241,45.060
2020-08-28 13:31:46.528625,34.361
2020-08-28 13:31:46.539657,46.239
2020-08-28 13:32:01.428108,82.820
2020-08-28 13:32:01.440734,69.181
2020-08-28 13:32:01.451319,56.706
2020-08-28 13:32:01.461813,46.420
2020-08-28 13:32:01.472917,43.825
2020-08-28 13:32:01.483450,55.117
2020-08-28 13:32:01.493988,46.824
