datetime,ping
2020-08-28 12:30:16.410465,83.288
2020-08-28 12:30:16.421919,69.696
2020-08-28 12:30:16.433059,60.016
2020-08-28 12:30:16.444743,50.121
2020-08-28 12:30:16.455960,45.231
2020-08-28 12:30:16.467385,41.655
2020-08-28 12:30:16.478538,37.576
2020-08-28 12:30:16.489770,40.828
2020-08-28 12:30:16.500815,51.564
2020-08-28 12:30:16.511860,44.492
2020-08-28 12:30:31.409977,86.443
2020-08-28 12:30:31.420586,79.001
2020-08-28 12:30:31.430950,69.218
2020-08-28 12:30:31.441906,59.772
2020-08-28 12:30:31.452415,48.405
2020-08-28 12:30:31.463003,54.601
2020-08-28 12:30:31.475950,58.775
2020-08-28 12:30:31.484001,48.847
2020-08-28 12:30:31.494656,51.607
2020-08-28 12:30:31.510905,40.113
2020-08-28 12:30:46.410019,97.539
2020-08-28 12:30:46.420529,87.101
2020-08-28 12:30:46.431038,77.592
2020-08-28 12:30:46.441558,65.291
2020-08-28 12:30:46.452107,57.553
2020-08-28 12:30:46.462616,47.620
2020-08-28 12:30:46.473257,42.682
2020-08-28 12:30:46.484381,52.315
2020-08-28 12:30:46.494336,60.584
2020-08-28 12:30:46.514276,52.287
2020-08-28 12:31:01.410054,80.982
2020-08-28 12:31:01.423188,68.248
2020-08-28 12:31:01.433725,59.790
2020-08-28 12:31:01.446890,44.289
2020-08-28 12:31:01.454875,45.153
2020-08-28 12:31:01.468054,55.348
2020-08-28 12:31:01.476227,48.314
2020-08-28 12:31:01.486720,34.956
2020-08-28 12:31:01.497219,50.548
2020-08-28 12:31:01.508330,42.609
2020-08-28 12:31:16.410053,91.918
2020-08-28 12:31:16.422713,79.849
2020-08-28 12:31:16.433372,65.558
2020-08-28 12:31:16.443908,56.384
2020-08-28 12:31:16.454684,44.485
2020-08-28 12:31:16.465091,45.518
2020-08-28 12:31:16.475752,36.841
2020-08-28 12:31:16.486252,56.355
2020-08-28 12:31:16.496765,43.921
2020-08-28 12:31:16.507238,50.848
2020-08-28 12:31:31.410007,62.609
