datetime,ping
2020-06-26 13:00:01.723617,77.618
2020-06-26 13:00:01.734297,68.418
2020-06-26 13:00:01.744843,58.281
2020-06-26 13:00:01.758085,45.656
2020-06-26 13:00:01.771001,40.229
2020-06-26 13:00:01.781554,45.016
2020-06-26 13:00:01.794481,42.650
2020-06-26 13:00:01.804951,47.146
2020-06-26 13:00:01.817375,36.434
2020-06-26 13:00:01.827331,29.499
2020-06-26 13:00:16.723654,88.790
2020-06-26 13:00:16.734174,77.409
2020-06-26 13:00:16.744768,64.041
2020-06-26 13:00:16.755238,66.184
2020-06-26 13:00:16.765742,53.795
2020-06-26 13:00:16.776335,52.267
2020-06-26 13:00:16.789517,46.026
2020-06-26 13:00:16.797322,39.475
2020-06-26 13:00:16.807843,38.637
2020-06-26 13:00:16.818318,37.058
2020-06-26 13:00:31.723563,77.993
2020-06-26 13:00:31.736404,66.574
2020-06-26 13:00:31.746874,56.582
2020-06-26 13:00:31.760710,41.189
2020-06-26 13:00:31.771196,40.545
2020-06-26 13:00:31.782121,56.679
2020-06-26 13:00:31.792629,45.976
2020-06-26 13:00:31.803492,49.317
2020-06-26 13:00:31.814055,33.358
2020-06-26 13:00:31.824733,46.291
2020-06-26 13:00:46.723572,81.955
2020-06-26 13:00:46.736218,68.539
2020-06-26 13:00:46.746703,55.724
2020-06-26 13:00:46.762346,41.418
2020-06-26 13:00:46.768063,44.424
2020-06-26 13:00:46.778963,41.450
2020-06-26 13:00:46.789463,38.918
2020-06-26 13:00:46.799988,63.344
2020-06-26 13:00:46.810518,49.177
2020-06-26 13:00:46.820947,42.573
2020-06-26 13:01:01.723572,77.409
2020-06-26 13:01:01.734104,68.692
2020-06-26 13:01:01.744637,59.947
2020-06-26 13:01:01.755137,40.129
2020-06-26 13:01:01.765992,42.386
2020-06-26 13:01:01.776442,44.642
2020-06-26 13:01:01.787402,49.040
2020-06-26 13:01:01.797788,49.233
2020-06-26 13:01:01.808587,30.930
2020-06-26 13:01:01.819087,46.144
2020-06-26 13:01:16.723535,96.018
2020-06-26 13:01:16.734008,83.398
2020-06-26 13:01:16.744958,73.725
2020-06-26 13:01:16.755478,61.547
2020-06-26 13:01:16.766077,63.263
2020-06-26 13:01:16.776545,45.487
2020-06-26 13:01:16.787534,39.508
2020-06-26 13:01:16.797778,47.593
2020-06-26 13:01:16.808291,45.876
2020-06-26 13:01:16.818815,40.261
2020-06-26 13:01:31.723663,88.945
2020-06-26 13:01:31.734582,75.561
2020-06-26 13:01:31.747769,64.534
2020-06-26 13:01:31.758268,55.778
2020-06-26 13:01:31.771054,57.757
2020-06-26 13:01:31.781533,49.422
2020-06-26 13:01:31.794736,52.531
2020-06-26 13:01:31.805186,48.363
2020-06-26 13:01:31.815676,38.650
2020-06-26 13:01:31.827022,54.852
2020-06-26 13:01:46.723608,87.997
2020-06-26 13:01:46.734168,77.100
2020-06-26 13:01:46.745098,63.783
2020-06-26 13:01:46.755657,52.819
2020-06-26 13:01:46.766258,51.894
2020-06-26 13:01:46.776788,42.260
2020-06-26 13:01:46.787267,40.942
2020-06-26 13:01:46.797775,40.081
2020-06-26 13:01:46.808298,30.369
2020-06-26 13:01:46.820542,29.895
2020-06-26 13:02:01.723550,79.730
2020-06-26 13:02:01.736723,66.413
2020-06-26 13:02:01.747626,56.509
2020-06-26 13:02:01.758176,42.912
2020-06-26 13:02:01.768707,39.815
2020-06-26 13:02:01.779710,56.304
2020-06-26 13:02:01.790207,42.708
2020-06-26 13:02:01.800698,37.152
2020-06-26 13:02:01.811180,38.687
2020-06-26 13:02:01.826092,47.811
2020-06-26 13:02:16.723541,82.594
2020-06-26 13:02:16.734427,72.495
2020-06-26 13:02:16.747602,58.814
2020-06-26 13:02:16.758086,43.207
2020-06-26 13:02:16.768843,41.576
2020-06-26 13:02:16.779216,50.492
2020-06-26 13:02:16.789743,44.422
2020-06-26 13:02:16.800232,35.485
2020-06-26 13:02:16.810748,39.890
2020-06-26 13:02:16.821790,41.835
2020-06-26 13:02:31.723554,80.670
2020-06-26 13:02:31.736151,72.056
2020-06-26 13:02:31.746644,60.306
2020-06-26 13:02:31.757115,49.743
2020-06-26 13:02:31.767642,50.989
2020-06-26 13:02:31.778148,50.364
2020-06-26 13:02:31.788683,72.659
2020-06-26 13:02:31.799219,62.265
2020-06-26 13:02:31.809790,47.523
2020-06-26 13:02:31.821957,38.264
2020-06-26 13:02:46.723627,80.624
2020-06-26 13:02:46.734141,71.229
2020-06-26 13:02:46.744631,61.191
2020-06-26 13:02:46.755126,48.800
2020-06-26 13:02:46.765619,47.690
2020-06-26 13:02:46.776734,53.153
2020-06-26 13:02:46.787183,40.035
2020-06-26 13:02:46.797979,31.130
2020-06-26 13:02:46.808895,40.098
2020-06-26 13:02:46.819774,33.190
2020-06-26 13:03:01.723583,81.533
2020-06-26 13:03:01.734081,70.591
2020-06-26 13:03:01.747322,57.341
2020-06-26 13:03:01.757767,45.811
2020-06-26 13:03:01.771881,43.071
2020-06-26 13:03:01.778852,48.572
2020-06-26 13:03:01.789293,48.668
2020-06-26 13:03:01.800277,40.374
2020-06-26 13:03:01.810811,34.851
2020-06-26 13:03:01.822502,42.014
2020-06-26 13:03:16.723541,100.812
2020-06-26 13:03:16.736235,87.593
2020-06-26 13:03:16.746723,75.875
2020-06-26 13:03:16.757251,66.216
2020-06-26 13:03:16.767827,54.135
2020-06-26 13:03:16.778343,45.124
2020-06-26 13:03:16.789238,43.908
2020-06-26 13:03:16.799778,47.992
2020-06-26 13:03:16.810277,47.063
2020-06-26 13:03:16.826403,54.036
2020-06-26 13:03:31.723520,82.399
2020-06-26 13:03:31.735963,67.629
2020-06-26 13:03:31.744589,60.670
2020-06-26 13:03:31.755478,49.911
2020-06-26 13:03:31.766022,56.119
2020-06-26 13:03:31.778720,43.445
2020-06-26 13:03:31.789200,41.576
2020-06-26 13:03:31.799749,58.232
2020-06-26 13:03:31.810604,50.538
2020-06-26 13:03:31.821323,46.805
2020-06-26 13:03:46.723747,87.501
2020-06-26 13:03:46.736178,74.336
2020-06-26 13:03:46.746410,65.372
2020-06-26 13:03:46.756878,54.367
2020-06-26 13:03:46.767371,52.913
2020-06-26 13:03:46.777941,52.161
2020-06-26 13:03:46.788461,47.014
2020-06-26 13:03:46.798957,38.664
2020-06-26 13:03:46.809827,47.972
2020-06-26 13:03:46.820818,46.527
2020-06-26 13:04:01.723660,79.422
2020-06-26 13:04:01.734252,85.900
2020-06-26 13:04:01.747415,71.620
2020-06-26 13:04:01.755187,64.674
2020-06-26 13:04:01.766181,54.284
2020-06-26 13:04:01.776707,45.892
2020-06-26 13:04:01.789071,35.412
2020-06-26 13:04:01.797670,40.659
2020-06-26 13:04:01.808271,49.382
2020-06-26 13:04:01.818648,36.209
2020-06-26 13:04:16.723663,80.873
2020-06-26 13:04:16.736410,83.504
2020-06-26 13:04:16.749165,72.398
2020-06-26 13:04:16.759631,62.451
2020-06-26 13:04:16.770513,52.130
2020-06-26 13:04:16.780986,43.296
2020-06-26 13:04:16.791436,40.210
2020-06-26 13:04:16.801945,45.814
2020-06-26 13:04:16.812456,60.188
2020-06-26 13:04:16.832104,48.635
2020-06-26 13:04:31.723565,98.298
2020-06-26 13:04:31.736098,84.907
2020-06-26 13:04:31.746985,72.666
2020-06-26 13:04:31.757466,62.722
2020-06-26 13:04:31.767971,60.616
2020-06-26 13:04:31.778584,54.694
2020-06-26 13:04:31.788999,44.218
2020-06-26 13:04:31.799506,51.804
2020-06-26 13:04:31.810038,44.066
2020-06-26 13:04:31.820537,48.834
2020-06-26 13:04:46.723579,79.043
2020-06-26 13:04:46.734092,70.209
2020-06-26 13:04:46.745014,55.538
2020-06-26 13:04:46.755716,48.651
2020-06-26 13:04:46.766265,45.624
2020-06-26 13:04:46.776783,64.547
2020-06-26 13:04:46.787293,54.265
2020-06-26 13:04:46.797813,38.798
2020-06-26 13:04:46.808291,46.075
2020-06-26 13:04:46.820917,42.017
2020-06-26 13:05:01.723594,99.059
2020-06-26 13:05:01.734178,87.947
2020-06-26 13:05:01.746164,75.961
2020-06-26 13:05:01.755179,66.598
2020-06-26 13:05:01.765672,56.953
2020-06-26 13:05:01.776271,52.595
2020-06-26 13:05:01.793945,43.876
2020-06-26 13:05:01.797578,38.553
2020-06-26 13:05:01.808620,39.791
2020-06-26 13:05:01.819123,39.424
2020-06-26 13:05:16.723536,81.729
2020-06-26 13:05:16.734423,70.961
2020-06-26 13:05:16.747578,56.458
2020-06-26 13:05:16.758119,46.997
2020-06-26 13:05:16.768571,45.710
2020-06-26 13:05:16.779070,43.951
2020-06-26 13:05:16.789584,39.903
2020-06-26 13:05:16.800161,38.055
2020-06-26 13:05:16.810599,51.607
2020-06-26 13:05:16.821512,44.317
2020-06-26 13:05:31.723600,86.346
2020-06-26 13:05:31.734502,75.773
2020-06-26 13:05:31.745002,67.401
2020-06-26 13:05:31.755555,54.902
2020-06-26 13:05:31.766127,63.669
2020-06-26 13:05:31.776656,52.113
2020-06-26 13:05:31.787150,39.539
2020-06-26 13:05:31.798189,41.458
2020-06-26 13:05:31.809110,48.377
2020-06-26 13:05:31.819711,50.430
2020-06-26 13:05:46.723610,88.982
2020-06-26 13:05:46.734100,76.252
2020-06-26 13:05:46.744720,67.123
2020-06-26 13:05:46.755189,58.254
2020-06-26 13:05:46.765643,54.384
2020-06-26 13:05:46.776571,56.328
2020-06-26 13:05:46.787060,46.501
2020-06-26 13:05:46.797565,40.794
2020-06-26 13:05:46.808053,51.977
2020-06-26 13:05:46.818606,38.574
2020-06-26 13:06:01.723618,81.649
2020-06-26 13:06:01.734104,70.544
2020-06-26 13:06:01.745039,59.713
2020-06-26 13:06:01.755559,48.885
2020-06-26 13:06:01.766457,54.133
2020-06-26 13:06:01.776964,47.669
2020-06-26 13:06:01.787403,44.277
2020-06-26 13:06:01.801688,39.445
2020-06-26 13:06:01.808350,40.274
2020-06-26 13:06:01.820977,48.334
2020-06-26 13:06:16.723635,71.382
2020-06-26 13:06:16.736272,60.163
2020-06-26 13:06:16.746746,49.899
2020-06-26 13:06:16.757255,45.553
2020-06-26 13:06:16.767733,54.480
2020-06-26 13:06:16.778735,41.104
2020-06-26 13:06:16.789220,50.921
2020-06-26 13:06:16.799738,35.033
2020-06-26 13:06:16.810207,32.855
2020-06-26 13:06:16.826070,45.220
2020-06-26 13:06:31.723607,78.805
2020-06-26 13:06:31.734511,68.555
2020-06-26 13:06:31.744979,60.623
2020-06-26 13:06:31.755469,48.809
2020-06-26 13:06:31.766041,69.529
2020-06-26 13:06:31.776606,59.334
2020-06-26 13:06:31.787096,49.170
2020-06-26 13:06:31.797576,45.290
2020-06-26 13:06:31.808136,69.306
2020-06-26 13:06:31.820838,62.129
2020-06-26 13:06:46.723670,87.120
2020-06-26 13:06:46.734187,77.492
2020-06-26 13:06:46.747137,66.637
2020-06-26 13:06:46.759908,56.447
2020-06-26 13:06:46.773659,55.652
2020-06-26 13:06:46.787318,54.757
2020-06-26 13:06:46.800181,50.665
2020-06-26 13:06:46.810634,60.351
2020-06-26 13:06:46.821149,56.996
2020-06-26 13:06:46.831634,39.058
2020-06-26 13:07:01.723617,80.307
2020-06-26 13:07:01.736220,75.533
2020-06-26 13:07:01.746740,63.034
2020-06-26 13:07:01.757233,55.198
2020-06-26 13:07:01.767817,54.286
2020-06-26 13:07:01.778277,64.453
2020-06-26 13:07:01.789116,57.800
2020-06-26 13:07:01.799588,47.439
2020-06-26 13:07:01.810091,44.993
2020-06-26 13:07:01.827025,61.518
2020-06-26 13:07:16.723629,70.436
2020-06-26 13:07:16.736608,66.298
2020-06-26 13:07:16.750983,52.003
2020-06-26 13:07:16.761489,42.924
2020-06-26 13:07:16.772099,45.236
2020-06-26 13:07:16.785355,30.307
2020-06-26 13:07:16.795743,40.817
2020-06-26 13:07:16.806344,48.134
2020-06-26 13:07:16.817676,35.690
2020-06-26 13:07:16.831039,43.670
2020-06-26 13:07:31.723646,73.133
2020-06-26 13:07:31.736348,60.242
2020-06-26 13:07:31.746848,48.833
2020-06-26 13:07:31.757441,37.465
2020-06-26 13:07:31.772265,46.676
2020-06-26 13:07:31.782836,35.575
2020-06-26 13:07:31.793355,38.694
2020-06-26 13:07:31.804421,49.449
