datetime,ping
2020-08-28 15:00:16,58.519
2020-08-28 15:00:31,88.313
2020-08-28 15:00:46,79.557
2020-08-28 15:01:01,80.536
2020-08-28 15:01:16,80.395
2020-08-28 15:01:31,81.810
2020-08-28 15:01:46,82.141
2020-08-28 15:02:01,82.181
2020-08-28 15:02:16,80.084
2020-08-28 15:02:31,81.491
2020-08-28 15:02:46,80.514
2020-08-28 15:03:01,62.640
2020-08-28 15:03:16,78.831
2020-08-28 15:03:31,90.871
2020-08-28 15:03:46,89.728
2020-08-28 15:04:01,72.143
2020-08-28 15:04:16,71.069
2020-08-28 15:04:31,79.539
2020-08-28 15:04:46,82.452
2020-08-28 15:05:01,81.719
2020-08-28 15:05:16,72.466
2020-08-28 15:05:31,71.491
2020-08-28 15:05:46,73.387
2020-08-28 15:06:01,83.949
2020-08-28 15:06:16,90.055
2020-08-28 15:06:31,73.136
2020-08-28 15:06:46,72.022
2020-08-28 15:07:01,73.458
2020-08-28 15:07:16,75.606
2020-08-28 15:07:31,72.261
2020-08-28 15:07:46,72.355
2020-08-28 15:08:01,74.596
2020-08-28 15:08:16,72.625
2020-08-28 15:08:31,91.074
2020-08-28 15:08:46,74.329
2020-08-28 15:09:01,71.862
2020-08-28 15:09:16,74.366
2020-08-28 15:09:31,74.644
2020-08-28 15:09:46,74.160
2020-08-28 15:10:01,82.357
2020-08-28 15:10:16,97.919
2020-08-28 15:10:31,74.775
2020-08-28 15:10:46,74.055
2020-08-28 15:11:01,74.293
2020-08-28 15:11:16,92.323
2020-08-28 15:11:31,75.179
2020-08-28 15:11:46,75.342
2020-08-28 15:12:01,74.761
2020-08-28 15:12:16,75.800
2020-08-28 15:12:31,74.446
2020-08-28 15:12:46,74.974
2020-08-28 15:13:01,98.557
2020-08-28 15:13:16,77.252
2020-08-28 15:13:31,75.393
2020-08-28 15:13:46,76.374
2020-08-28 15:14:01,76.286
2020-08-28 15:14:16,74.655
2020-08-28 15:14:31,84.945
2020-08-28 15:14:46,75.916
2020-08-28 15:15:01,77.050
2020-08-28 15:15:16,76.079
2020-08-28 15:15:31,76.193
2020-08-28 15:15:46,76.383
2020-08-28 15:16:01,77.535
2020-08-28 15:16:16,76.303
2020-08-28 15:16:31,77.361
2020-08-28 15:16:46,76.749
2020-08-28 15:17:01,76.856
2020-08-28 15:17:16,77.917
2020-08-28 15:17:31,87.184
2020-08-28 15:17:46,78.961
2020-08-28 15:18:01,85.230
2020-08-28 15:18:16,79.303
2020-08-28 15:18:31,78.412
2020-08-28 15:18:46,78.417
2020-08-28 15:19:01,75.676
2020-08-28 15:19:16,78.872
2020-08-28 15:19:31,170.236
2020-08-28 15:19:46,79.145
2020-08-28 15:20:01,78.900
2020-08-28 15:20:16,109.294
2020-08-28 15:20:31,78.567
2020-08-28 15:20:46,81.189
2020-08-28 15:21:01,80.502
2020-08-28 15:21:16,78.240
2020-08-28 15:21:31,78.926
2020-08-28 15:21:46,79.589
2020-08-28 15:22:01,58.422
2020-08-28 15:22:16,70.238
2020-08-28 15:22:31,79.311
2020-08-28 15:22:46,79.441
2020-08-28 15:23:01,79.062
2020-08-28 15:23:16,79.732
2020-08-28 15:23:31,79.520
2020-08-28 15:23:46,79.891
2020-08-28 15:24:01,105.382
2020-08-28 15:24:16,81.991
2020-08-28 15:24:31,80.888
2020-08-28 15:24:46,78.308
2020-08-28 15:25:01,83.137
2020-08-28 15:25:16,81.354
2020-08-28 15:25:31,80.836
2020-08-28 15:25:46,80.677
2020-08-28 15:26:01,77.998
2020-08-28 15:26:16,79.139
2020-08-28 15:26:31,80.037
2020-08-28 15:26:46,79.212
2020-08-28 15:27:01,78.015
2020-08-28 15:27:16,87.516
2020-08-28 15:27:31,79.256
2020-08-28 15:27:46,80.627
2020-08-28 15:28:01,74.306
2020-08-28 15:28:16,79.726
2020-08-28 15:28:31,79.009
2020-08-28 15:28:46,78.975
2020-08-28 15:29:01,79.890
2020-08-28 15:29:16,79.186
2020-08-28 15:29:31,80.291
2020-08-28 15:29:46,78.312
2020-08-28 15:30:01,81.584
2020-08-28 15:30:16,79.493
2020-08-28 15:30:31,88.749
2020-08-28 15:30:46,79.904
2020-08-28 15:31:01,79.882
2020-08-28 15:31:16,78.043
2020-08-28 15:31:31,80.168
2020-08-28 15:31:46,84.195
2020-08-28 15:32:01,74.004
2020-08-28 15:32:16,74.218
2020-08-28 15:32:31,74.158
2020-08-28 15:32:46,75.260
2020-08-28 15:33:01,74.873
2020-08-28 15:33:16,73.590
2020-08-28 15:33:31,74.163
2020-08-28 15:33:46,74.317
2020-08-28 15:34:01,83.423
2020-08-28 15:34:16,75.635
2020-08-28 15:34:31,75.392
2020-08-28 15:34:46,75.609
2020-08-28 15:35:01,74.468
2020-08-28 15:35:16,83.974
2020-08-28 15:35:31,83.596
2020-08-28 15:35:46,82.044
2020-08-28 15:36:01,82.422
2020-08-28 15:36:16,73.355
2020-08-28 15:36:31,73.346
2020-08-28 15:36:46,79.603
2020-08-28 15:37:01,73.177
2020-08-28 15:37:16,73.877
2020-08-28 15:37:31,85.885
2020-08-28 15:37:46,73.114
2020-08-28 15:38:01,55.048
2020-08-28 15:38:16,74.260
2020-08-28 15:38:31,75.283
2020-08-28 15:38:46,75.484
2020-08-28 15:39:01,76.601
2020-08-28 15:39:16,73.293
2020-08-28 15:39:31,74.869
2020-08-28 15:39:46,73.420
2020-08-28 15:40:01,74.436
2020-08-28 15:40:16,75.091
2020-08-28 15:40:31,75.316
2020-08-28 15:40:46,75.905
2020-08-28 15:41:01,74.980
2020-08-28 15:41:16,76.304
2020-08-28 15:41:31,74.567
2020-08-28 15:41:46,75.802
2020-08-28 15:42:01,75.660
2020-08-28 15:42:16,75.013
2020-08-28 15:42:31,76.389
2020-08-28 15:42:46,74.191
2020-08-28 15:43:01,76.542
2020-08-28 15:43:16,75.434
2020-08-28 15:43:31,74.481
2020-08-28 15:43:46,75.777
2020-08-28 15:44:01,76.544
2020-08-28 15:44:16,75.483
2020-08-28 15:44:31,75.257
2020-08-28 15:44:46,78.081
2020-08-28 15:45:01,77.339
2020-08-28 15:45:16,122.263
2020-08-28 15:45:31,77.402
2020-08-28 15:45:46,77.523
2020-08-28 15:46:01,76.620
2020-08-28 15:46:16,77.883
2020-08-28 15:46:31,78.032
2020-08-28 15:46:46,77.016
2020-08-28 15:47:01,78.209
2020-08-28 15:47:16,77.297
2020-08-28 15:47:31,78.397
2020-08-28 15:47:46,77.533
2020-08-28 15:48:01,76.396
2020-08-28 15:48:16,78.614
2020-08-28 15:48:31,78.661
2020-08-28 15:48:46,77.827
2020-08-28 15:49:01,77.656
2020-08-28 15:49:16,79.219
2020-08-28 15:49:31,77.769
2020-08-28 15:49:46,79.297
2020-08-28 15:50:01,79.210
2020-08-28 15:50:16,79.551
2020-08-28 15:50:31,78.678
2020-08-28 15:50:46,79.803
2020-08-28 15:51:01,60.342
2020-08-28 15:51:16,79.783
2020-08-28 15:51:31,79.239
2020-08-28 15:51:46,79.477
2020-08-28 15:52:01,84.827
2020-08-28 15:52:16,73.483
2020-08-28 15:52:31,126.556
2020-08-28 15:52:46,73.554
2020-08-28 15:53:01,73.767
2020-08-28 15:53:16,72.860
2020-08-28 15:53:31,74.114
2020-08-28 15:53:46,72.899
2020-08-28 15:54:01,72.132
2020-08-28 15:54:16,74.060
2020-08-28 15:54:31,74.464
2020-08-28 15:54:46,74.407
2020-08-28 15:55:01,73.687
2020-08-28 15:55:16,73.605
2020-08-28 15:55:31,81.246
2020-08-28 15:55:46,74.724
2020-08-28 15:56:01,75.487
2020-08-28 15:56:16,76.143
2020-08-28 15:56:31,74.853
2020-08-28 15:56:46,75.085
2020-08-28 15:57:01,76.879
2020-08-28 15:57:16,82.936
2020-08-28 15:57:31,72.762
2020-08-28 15:57:46,71.907
2020-08-28 15:58:01,62.675
2020-08-28 15:58:16,81.969
2020-08-28 15:58:31,73.144
2020-08-28 15:58:46,73.369
2020-08-28 15:59:01,73.433
2020-08-28 15:59:16,85.526
2020-08-28 15:59:31,80.313
2020-08-28 15:59:46,72.583
2020-08-28 16:00:01,76.216
