datetime,ping
2020-07-17 16:10:01,76.139
2020-07-17 16:10:16,77.989
2020-07-17 16:10:31,76.800
2020-07-17 16:10:46,76.460
2020-07-17 16:11:01,76.174
2020-07-17 16:11:16,88.100
2020-07-17 16:11:31,77.179
2020-07-17 16:11:46,76.604
2020-07-17 16:12:01,77.428
2020-07-17 16:12:16,77.036
2020-07-17 16:12:31,91.925
2020-07-17 16:12:46,99.563
2020-07-17 16:13:01,78.131
2020-07-17 16:13:16,77.176
2020-07-17 16:13:31,76.485
2020-07-17 16:13:46,78.412
2020-07-17 16:14:01,84.757
2020-07-17 16:14:16,79.473
2020-07-17 16:14:31,68.420
2020-07-17 16:14:46,77.952
2020-07-17 16:15:01,85.407
2020-07-17 16:15:16,87.945
2020-07-17 16:15:31,78.792
2020-07-17 16:15:46,99.108
2020-07-17 16:16:01,79.457
2020-07-17 16:16:16,99.477
2020-07-17 16:16:31,86.376
2020-07-17 16:16:46,79.456
2020-07-17 16:17:01,80.535
2020-07-17 16:17:16,107.510
2020-07-17 16:17:31,80.590
2020-07-17 16:17:46,79.665
2020-07-17 16:18:01,79.901
2020-07-17 16:18:16,80.117
2020-07-17 16:18:31,81.121
2020-07-17 16:18:46,88.547
2020-07-17 16:19:01,82.586
2020-07-17 16:19:16,90.731
2020-07-17 16:19:31,81.037
2020-07-17 16:19:46,81.528
2020-07-17 16:20:01,81.421
2020-07-17 16:20:16,92.101
2020-07-17 16:20:31,88.941
2020-07-17 16:20:46,82.468
2020-07-17 16:21:01,81.858
2020-07-17 16:21:16,102.519
2020-07-17 16:21:31,82.328
2020-07-17 16:21:46,87.460
2020-07-17 16:22:01,81.291
2020-07-17 16:22:16,88.056
2020-07-17 16:22:31,62.531
2020-07-17 16:22:46,83.265
2020-07-17 16:23:01,82.187
2020-07-17 16:23:16,83.466
2020-07-17 16:23:31,82.489
2020-07-17 16:23:46,82.958
2020-07-17 16:24:01,87.593
2020-07-17 16:24:16,83.725
2020-07-17 16:24:31,83.323
2020-07-17 16:24:46,83.721
2020-07-17 16:25:01,84.239
2020-07-17 16:25:16,83.963
2020-07-17 16:25:31,84.412
2020-07-17 16:25:46,100.236
2020-07-17 16:26:01,86.902
2020-07-17 16:26:16,85.688
2020-07-17 16:26:31,83.615
2020-07-17 16:26:46,100.802
2020-07-17 16:27:01,73.247
2020-07-17 16:27:16,73.368
2020-07-17 16:27:31,74.376
2020-07-17 16:27:46,74.011
2020-07-17 16:28:01,73.375
2020-07-17 16:28:16,74.811
2020-07-17 16:28:31,74.562
2020-07-17 16:28:46,74.855
2020-07-17 16:29:01,75.452
2020-07-17 16:29:16,74.636
2020-07-17 16:29:31,75.448
2020-07-17 16:29:46,75.144
2020-07-17 16:30:01,75.961
2020-07-17 16:30:16,77.541
2020-07-17 16:30:31,73.843
2020-07-17 16:30:46,76.652
2020-07-17 16:31:01,74.646
2020-07-17 16:31:16,75.618
2020-07-17 16:31:31,75.564
2020-07-17 16:31:46,76.729
2020-07-17 16:32:01,75.912
