time,ping
2019-12-13 12:00:06,47.298
2019-12-13 12:00:11,39.308
2019-12-13 12:00:16,29.262
2019-12-13 12:00:21,37.604
2019-12-13 12:00:26,53.527
2019-12-13 12:00:31,46.321
2019-12-13 12:00:36,45.226
2019-12-13 12:00:41,38.253
2019-12-13 12:00:46,39.104
2019-12-13 12:00:51,45.361
2019-12-13 12:00:56,43.314
2019-12-13 12:01:01,46.449
2019-12-13 12:01:06,48.395
2019-12-13 12:01:11,47.07
2019-12-13 12:01:16,44.302
2019-12-13 12:01:21,47.372
2019-12-13 12:01:26,35.213
2019-12-13 12:01:31,31.046
2019-12-13 12:01:36,54.389
2019-12-13 12:01:41,38.367
2019-12-13 12:01:46,48.145
2019-12-13 12:01:51,48.181
2019-12-13 12:01:56,46.533
2019-12-13 12:02:01,28.326
2019-12-13 12:02:06,41.471
2019-12-13 12:02:11,35.877
2019-12-13 12:02:16,43.964
2019-12-13 12:02:21,56.981
2019-12-13 12:02:26,55.433
2019-12-13 12:02:31,44.273
2019-12-13 12:02:36,27.852
2019-12-13 12:02:41,28.518
2019-12-13 12:02:46,37.265
2019-12-13 12:02:51,34.351
2019-12-13 12:02:56,53.02
2019-12-13 12:03:01,43.885
2019-12-13 12:03:06,50.828
2019-12-13 12:03:11,35.832
2019-12-13 12:03:16,34.897
2019-12-13 12:03:21,62.606
2019-12-13 12:03:26,38.366
2019-12-13 12:03:31,29.484
2019-12-13 12:03:36,33.542
2019-12-13 12:03:41,36.38
2019-12-13 12:03:46,30.988
2019-12-13 12:03:51,36.701
2019-12-13 12:03:56,57.451
2019-12-13 12:04:01,33.334
2019-12-13 12:04:06,49.475
2019-12-13 12:04:11,44.324
2019-12-13 12:04:16,37.199
2019-12-13 12:04:21,42.455
2019-12-13 12:04:26,54.143
2019-12-13 12:04:31,39.539
2019-12-13 12:04:36,67.392
2019-12-13 12:04:41,52.568
2019-12-13 12:04:46,37.602
2019-12-13 12:04:51,51.482
2019-12-13 12:04:56,35.349
2019-12-13 12:05:01,48.535
2019-12-13 12:05:06,37.185
2019-12-13 12:05:11,50.644
2019-12-13 12:05:16,30.502
2019-12-13 12:05:21,39.711
2019-12-13 12:05:26,34.313
2019-12-13 12:05:31,51.181
2019-12-13 12:05:36,39.332
2019-12-13 12:05:41,40.554
2019-12-13 12:05:46,51.634
2019-12-13 12:05:51,55.181
2019-12-13 12:05:56,34.545
2019-12-13 12:06:01,39.909
2019-12-13 12:06:06,37.065
2019-12-13 12:06:11,36.998
2019-12-13 12:06:16,38.085
2019-12-13 12:06:21,39.326
2019-12-13 12:06:26,45.127
2019-12-13 12:06:31,32.021
2019-12-13 12:06:36,44.537
2019-12-13 12:06:41,47.03
2019-12-13 12:06:46,42.569
2019-12-13 12:06:51,33.56
2019-12-13 12:06:56,45.346
2019-12-13 12:07:01,41.961
2019-12-13 12:07:06,32.423
2019-12-13 12:07:11,49.63
2019-12-13 12:07:16,39.757
2019-12-13 12:07:21,45.208
2019-12-13 12:07:26,48.171
2019-12-13 12:07:31,44.266
2019-12-13 12:07:36,48.338
2019-12-13 12:07:41,34.605
2019-12-13 12:07:46,43.949
2019-12-13 12:07:51,44.977
2019-12-13 12:07:56,43.982
2019-12-13 12:08:01,46.233
2019-12-13 12:08:06,43.289
2019-12-13 12:08:11,43.921
2019-12-13 12:08:16,35.391
2019-12-13 12:08:21,39.275
2019-12-13 12:08:26,46.379
2019-12-13 12:08:31,51.663
2019-12-13 12:08:36,44.851
2019-12-13 12:08:41,35.698
2019-12-13 12:08:46,42.505
2019-12-13 12:08:51,34.523
2019-12-13 12:08:56,38.305
2019-12-13 12:09:01,43.271
2019-12-13 12:09:06,43.833
2019-12-13 12:09:11,43.218
2019-12-13 12:09:16,46.543
2019-12-13 12:09:21,34.574
2019-12-13 12:09:26,27.641
2019-12-13 12:09:31,35.924
2019-12-13 12:09:36,39.097
2019-12-13 12:09:41,41.915
2019-12-13 12:09:46,34.532
2019-12-13 12:09:51,35.303
2019-12-13 12:09:56,43.637
2019-12-13 12:10:01,48.457
2019-12-13 12:10:06,52.454
2019-12-13 12:10:11,45.992
2019-12-13 12:10:16,59.501
2019-12-13 12:10:21,43.1
2019-12-13 12:10:26,42.587
2019-12-13 12:10:31,52.973
2019-12-13 12:10:36,43.144
2019-12-13 12:10:41,35.592
2019-12-13 12:10:46,36.232
2019-12-13 12:10:51,50.685
2019-12-13 12:10:56,43.28
2019-12-13 12:11:01,42.549
2019-12-13 12:11:06,44.804
2019-12-13 12:11:11,42.504
2019-12-13 12:11:16,50.605
2019-12-13 12:11:21,33.23
2019-12-13 12:11:26,35.342
2019-12-13 12:11:31,50.51
2019-12-13 12:11:36,34.207
2019-12-13 12:11:41,43.274
2019-12-13 12:11:46,27.358
2019-12-13 12:11:51,50.271
2019-12-13 12:11:56,48.105
2019-12-13 12:12:01,32.586
2019-12-13 12:12:06,35.173
2019-12-13 12:12:11,41.915
2019-12-13 12:12:16,40.369
2019-12-13 12:12:21,46.811
2019-12-13 12:12:26,59.557
2019-12-13 12:12:31,44.449
2019-12-13 12:12:36,34.583
2019-12-13 12:12:41,41.582
2019-12-13 12:12:46,45.382
2019-12-13 12:12:51,44.826
2019-12-13 12:12:56,42.51
2019-12-13 12:13:01,39.589
2019-12-13 12:13:06,36.449
2019-12-13 12:13:11,35.098
2019-12-13 12:13:16,47.098
2019-12-13 12:13:21,35.729
2019-12-13 12:13:26,40.968
2019-12-13 12:13:31,47.334
2019-12-13 12:13:36,36.248
2019-12-13 12:13:41,34.707
2019-12-13 12:13:46,47.07
2019-12-13 12:13:51,51.715
2019-12-13 12:13:56,38.232
2019-12-13 12:14:01,36.584
2019-12-13 12:14:06,42.761
2019-12-13 12:14:11,34.129
2019-12-13 12:14:16,49.542
2019-12-13 12:14:21,27.996
2019-12-13 12:14:26,36.251
2019-12-13 12:14:31,51.865
2019-12-13 12:14:36,44.355
