time,ping
2019-12-09 17:00:06,38.946
2019-12-09 17:00:11,38.412
2019-12-09 17:00:16,27.469
2019-12-09 17:00:21,30.582
2019-12-09 17:00:26,48.307
2019-12-09 17:00:31,41.025
2019-12-09 17:00:36,44.008
2019-12-09 17:00:41,50.403
2019-12-09 17:00:46,46.394
2019-12-09 17:00:51,41.378
2019-12-09 17:00:56,37.705
2019-12-09 17:01:01,38.317
2019-12-09 17:01:06,38.966
2019-12-09 17:01:11,33.377
2019-12-09 17:01:16,47.066
2019-12-09 17:01:21,43.259
2019-12-09 17:01:26,35.463
2019-12-09 17:01:31,40.727
2019-12-09 17:01:36,47.282
2019-12-09 17:01:41,34.626
2019-12-09 17:01:46,49.668
2019-12-09 17:01:51,40.254
2019-12-09 17:01:56,39.29
2019-12-09 17:02:01,41.399
2019-12-09 17:02:06,39.314
2019-12-09 17:02:11,32.027
2019-12-09 17:02:16,49.351
2019-12-09 17:02:21,35.42
2019-12-09 17:02:26,37.634
2019-12-09 17:02:31,51.31
2019-12-09 17:02:36,35.387
2019-12-09 17:02:41,46.335
2019-12-09 17:02:46,44.35
2019-12-09 17:02:51,39.085
2019-12-09 17:02:56,48.275
2019-12-09 17:03:01,43.595
2019-12-09 17:03:06,31.262
2019-12-09 17:03:11,40.481
2019-12-09 17:03:16,41.211
2019-12-09 17:03:21,36.505
2019-12-09 17:03:26,39.392
2019-12-09 17:03:31,40.492
2019-12-09 17:03:36,32.72
2019-12-09 17:03:41,43.529
2019-12-09 17:03:46,45.746
2019-12-09 17:03:51,31.983
2019-12-09 17:03:56,45.572
2019-12-09 17:04:01,34.358
2019-12-09 17:04:06,32.219
2019-12-09 17:04:11,43.247
2019-12-09 17:04:16,35.297
2019-12-09 17:04:21,42.039
2019-12-09 17:04:26,48.334
2019-12-09 17:04:31,33.331
2019-12-09 17:04:36,36.297
2019-12-09 17:04:41,32.951
2019-12-09 17:04:46,112.127
2019-12-09 17:04:51,34.913
2019-12-09 17:04:56,43.369
2019-12-09 17:05:01,39.356
2019-12-09 17:05:06,42.61
2019-12-09 17:05:11,48.613
2019-12-09 17:05:16,49.973
2019-12-09 17:05:21,35.184
2019-12-09 17:05:26,30.538
2019-12-09 17:05:31,34.423
2019-12-09 17:05:36,30.199
2019-12-09 17:05:41,39.315
2019-12-09 17:05:46,47.82
2019-12-09 17:05:51,38.582
2019-12-09 17:05:56,36.973
2019-12-09 17:06:01,42.265
2019-12-09 17:06:06,32.316
2019-12-09 17:06:11,31.354
2019-12-09 17:06:16,42.412
2019-12-09 17:06:21,35.274
2019-12-09 17:06:26,44.086
2019-12-09 17:06:31,48.262
2019-12-09 17:06:36,32.665
2019-12-09 17:06:41,43.419
2019-12-09 17:06:46,47.221
2019-12-09 17:06:51,35.43
2019-12-09 17:06:56,51.415
2019-12-09 17:07:01,43.43
2019-12-09 17:07:06,37.969
2019-12-09 17:07:11,32.708
2019-12-09 17:07:16,40.629
2019-12-09 17:07:21,36.377
2019-12-09 17:07:26,42.101
2019-12-09 17:07:31,47.331
2019-12-09 17:07:36,42.358
2019-12-09 17:07:41,41.048
2019-12-09 17:07:46,35.334
2019-12-09 17:07:51,37.497
2019-12-09 17:07:56,47.025
2019-12-09 17:08:01,33.64
2019-12-09 17:08:06,44.34
2019-12-09 17:08:11,42.794
2019-12-09 17:08:16,34.41
2019-12-09 17:08:21,34.385
2019-12-09 17:08:26,43.22
2019-12-09 17:08:31,40.232
2019-12-09 17:08:36,37.757
2019-12-09 17:08:41,41.094
2019-12-09 17:08:46,34.025
2019-12-09 17:08:51,35.053
2019-12-09 17:08:56,48.137
2019-12-09 17:09:01,42.933
2019-12-09 17:09:06,43.595
2019-12-09 17:09:11,32.671
2019-12-09 17:09:16,30.372
2019-12-09 17:09:21,42.572
2019-12-09 17:09:26,48.623
2019-12-09 17:09:31,43.53
2019-12-09 17:09:36,30.885
2019-12-09 17:09:41,33.925
2019-12-09 17:09:46,41.703
2019-12-09 17:09:51,39.61
2019-12-09 17:09:56,47.708
2019-12-09 17:10:01,38.587
2019-12-09 17:10:06,41.484
2019-12-09 17:10:11,36.027
2019-12-09 17:10:16,64.983
2019-12-09 17:10:21,43.719
2019-12-09 17:10:26,41.626
2019-12-09 17:10:31,46.719
2019-12-09 17:10:36,39.703
2019-12-09 17:10:41,52.354
2019-12-09 17:10:46,39.446
2019-12-09 17:10:51,36.525
2019-12-09 17:10:56,33.194
2019-12-09 17:11:01,32.272
2019-12-09 17:11:06,31.23
2019-12-09 17:11:11,35.322
2019-12-09 17:11:16,43.47
