time,ping
2020-01-05 12:00:17,37.32
2020-01-05 12:00:32,28.903
2020-01-05 12:00:47,32.052
2020-01-05 12:01:02,28.245
2020-01-05 12:01:17,61.04
2020-01-05 12:01:32,43.304
2020-01-05 12:01:47,29.275
2020-01-05 12:02:02,37.939
2020-01-05 12:02:17,30.922
2020-01-05 12:02:32,43.854
2020-01-05 12:02:47,30.782
2020-01-05 12:03:02,45.579
2020-01-05 12:03:17,62.657
2020-01-05 12:03:32,31.826
2020-01-05 12:03:47,51.221
2020-01-05 12:04:02,29.017
2020-01-05 12:04:17,46.64
2020-01-05 12:04:32,130.871
2020-01-05 12:04:47,31.769
2020-01-05 12:05:02,37.949
2020-01-05 12:05:17,27.81
2020-01-05 12:05:32,29.761
2020-01-05 12:05:47,30.608
2020-01-05 12:06:02,38.856
2020-01-05 12:06:17,63.012
2020-01-05 12:06:32,28.891
2020-01-05 12:06:47,47.546
2020-01-05 12:07:02,30.519
2020-01-05 12:07:17,44.223
2020-01-05 12:07:32,32.688
2020-01-05 12:07:47,30.132
2020-01-05 12:08:02,32.693
2020-01-05 12:08:17,47.581
2020-01-05 12:08:32,54.43
2020-01-05 12:08:47,46.475
2020-01-05 12:09:02,34.535
2020-01-05 12:09:17,40.79
2020-01-05 12:09:32,33.541
2020-01-05 12:09:47,45.698
2020-01-05 12:10:02,47.854
2020-01-05 12:10:17,32.51
2020-01-05 12:10:32,45.894
2020-01-05 12:10:47,35.447
2020-01-05 12:11:02,31.623
2020-01-05 12:11:17,32.376
2020-01-05 12:11:32,35.012
2020-01-05 12:11:47,44.754
2020-01-05 12:12:02,43.278
2020-01-05 12:12:17,31.299
2020-01-05 12:12:32,32.313
2020-01-05 12:12:47,30.275
2020-01-05 12:13:02,31.281
2020-01-05 12:13:17,31.267
2020-01-05 12:13:32,48.982
2020-01-05 12:13:47,44.929
2020-01-05 12:14:02,32.016
2020-01-05 12:14:17,31.073
2020-01-05 12:14:32,51.195
2020-01-05 12:14:47,49.21
2020-01-05 12:15:02,34.546
2020-01-05 12:15:17,33.481
2020-01-05 12:15:32,28.518
