datetime,ping
2020/02/24 20:00:16,38.410
2020/02/24 20:00:31,40.098
2020/02/24 20:00:46,36.397
2020/02/24 20:01:01,38.132
2020/02/24 20:01:16,36.817
2020/02/24 20:01:31,40.318
2020/02/24 20:01:46,39.381
2020/02/24 20:02:01,38.156
2020/02/24 20:02:16,40.173
2020/02/24 20:02:31,38.642
2020/02/24 20:02:46,48.444
2020/02/24 20:03:01,32.224
2020/02/24 20:03:16,32.178
2020/02/24 20:03:31,58.042
2020/02/24 20:03:46,40.983
2020/02/24 20:04:01,32.624
2020/02/24 20:04:16,49.121
2020/02/24 20:04:31,38.449
2020/02/24 20:04:46,39.592
2020/02/24 20:05:01,39.803
2020/02/24 20:05:16,51.025
2020/02/24 20:05:31,40.142
2020/02/24 20:05:46,41.138
2020/02/24 20:06:01,39.411
2020/02/24 20:06:16,48.019
2020/02/24 20:06:31,47.274
2020/02/24 20:06:46,39.381
2020/02/24 20:07:01,43.992
2020/02/24 20:07:16,37.987
2020/02/24 20:07:31,41.045
2020/02/24 20:07:46,40.076
2020/02/24 20:08:01,38.500
2020/02/24 20:08:16,41.067
2020/02/24 20:08:31,38.528
2020/02/24 20:08:46,40.980
2020/02/24 20:09:01,47.948
2020/02/24 20:09:16,40.408
2020/02/24 20:09:31,39.320
2020/02/24 20:09:46,39.989
2020/02/24 20:10:01,40.121
2020/02/24 20:10:16,40.181
2020/02/24 20:10:31,30.708
2020/02/24 20:10:46,39.993
2020/02/24 20:11:01,31.129
2020/02/24 20:11:16,39.936
2020/02/24 20:11:31,37.672
2020/02/24 20:11:46,37.693
2020/02/24 20:12:01,40.501
2020/02/24 20:12:16,40.155
2020/02/24 20:12:31,39.987
2020/02/24 20:12:46,38.731
2020/02/24 20:13:01,52.054
2020/02/24 20:13:16,38.536
2020/02/24 20:13:31,37.579
2020/02/24 20:13:46,39.453
2020/02/24 20:14:01,84.409
2020/02/24 20:14:16,39.258
2020/02/24 20:14:31,40.012
2020/02/24 20:14:46,39.923
2020/02/24 20:15:01,39.079
2020/02/24 20:15:16,40.059
2020/02/24 20:15:31,40.763
2020/02/24 20:15:46,37.851
2020/02/24 20:16:01,31.354
2020/02/24 20:16:16,41.309
2020/02/24 20:16:31,41.263
2020/02/24 20:16:46,38.218
2020/02/24 20:17:01,40.148
2020/02/24 20:17:16,41.187
2020/02/24 20:17:31,38.007
2020/02/24 20:17:46,41.148
2020/02/24 20:18:01,39.450
2020/02/24 20:18:16,39.657
2020/02/24 20:18:31,45.882
2020/02/24 20:18:46,41.063
2020/02/24 20:19:01,39.484
2020/02/24 20:19:16,38.800
2020/02/24 20:19:31,41.195
2020/02/24 20:19:46,38.384
2020/02/24 20:20:01,39.032
2020/02/24 20:20:16,39.872
2020/02/24 20:20:31,38.350
2020/02/24 20:20:46,40.086
2020/02/24 20:21:01,34.394
2020/02/24 20:21:16,39.285
2020/02/24 20:21:31,39.362
2020/02/24 20:21:46,32.381
2020/02/24 20:22:01,39.479
2020/02/24 20:22:16,39.696
2020/02/24 20:22:31,38.481
2020/02/24 20:22:46,39.268
2020/02/24 20:23:01,39.992
2020/02/24 20:23:16,41.095
2020/02/24 20:23:31,39.928
2020/02/24 20:23:46,39.592
2020/02/24 20:24:01,50.248
2020/02/24 20:24:16,40.743
2020/02/24 20:24:31,39.942
2020/02/24 20:24:46,40.046
2020/02/24 20:25:01,39.417
2020/02/24 20:25:16,39.650
2020/02/24 20:25:31,39.401
2020/02/24 20:25:46,40.093
2020/02/24 20:26:01,38.958
2020/02/24 20:26:16,39.046
2020/02/24 20:26:31,34.410
2020/02/24 20:26:46,40.066
2020/02/24 20:27:01,40.027
2020/02/24 20:27:16,40.296
2020/02/24 20:27:31,41.080
2020/02/24 20:27:46,39.970
2020/02/24 20:28:01,49.119
2020/02/24 20:28:16,38.925
2020/02/24 20:28:31,41.212
2020/02/24 20:28:46,40.629
2020/02/24 20:29:01,33.506
2020/02/24 20:29:16,40.032
2020/02/24 20:29:31,40.986
2020/02/24 20:29:46,40.128
2020/02/24 20:30:01,39.571
2020/02/24 20:30:16,41.208
2020/02/24 20:30:31,40.974
2020/02/24 20:30:46,40.458
2020/02/24 20:31:01,33.961
2020/02/24 20:31:16,39.955
2020/02/24 20:31:31,38.726
2020/02/24 20:31:46,49.071
2020/02/24 20:32:01,39.976
2020/02/24 20:32:16,38.221
2020/02/24 20:32:31,30.854
2020/02/24 20:32:46,40.048
2020/02/24 20:33:01,39.848
2020/02/24 20:33:16,39.292
2020/02/24 20:33:31,31.957
2020/02/24 20:33:46,39.050
2020/02/24 20:34:01,34.962
2020/02/24 20:34:16,40.064
2020/02/24 20:34:31,37.963
2020/02/24 20:34:46,39.124
2020/02/24 20:35:01,39.310
2020/02/24 20:35:16,38.220
2020/02/24 20:35:31,39.951
2020/02/24 20:35:46,39.937
2020/02/24 20:36:01,39.827
2020/02/24 20:36:16,39.713
2020/02/24 20:36:31,38.571
2020/02/24 20:36:46,38.464
2020/02/24 20:37:01,48.132
2020/02/24 20:37:16,40.055
2020/02/24 20:37:31,51.259
2020/02/24 20:37:46,34.948
2020/02/24 20:38:01,50.516
2020/02/24 20:38:16,40.797
2020/02/24 20:38:31,39.215
2020/02/24 20:38:46,121.270
2020/02/24 20:39:01,39.563
2020/02/24 20:39:16,37.581
2020/02/24 20:39:31,46.833
2020/02/24 20:39:46,47.996
2020/02/24 20:40:01,39.731
2020/02/24 20:40:16,39.204
2020/02/24 20:40:31,39.824
2020/02/24 20:40:46,40.150
2020/02/24 20:41:01,40.225
2020/02/24 20:41:16,39.330
2020/02/24 20:41:31,39.110
2020/02/24 20:41:46,45.168
2020/02/24 20:42:01,31.166
2020/02/24 20:42:16,39.076
2020/02/24 20:42:31,48.159
2020/02/24 20:42:46,39.712
2020/02/24 20:43:01,40.094
