datetime,ping
2020-07-15 00:00:01,89.657
2020-07-15 00:00:16,90.492
2020-07-15 00:00:31,90.435
2020-07-15 00:00:46,105.601
2020-07-15 00:01:01,89.372
2020-07-15 00:01:16,89.496
2020-07-15 00:01:31,89.441
2020-07-15 00:01:46,89.620
2020-07-15 00:02:01,78.747
2020-07-15 00:02:16,81.256
2020-07-15 00:02:31,105.300
2020-07-15 00:02:46,81.439
2020-07-15 00:03:01,80.681
2020-07-15 00:03:16,81.709
2020-07-15 00:03:31,81.481
2020-07-15 00:03:46,81.328
2020-07-15 00:04:01,80.965
2020-07-15 00:04:16,80.786
2020-07-15 00:04:31,82.031
2020-07-15 00:04:46,81.927
2020-07-15 00:05:01,83.326
2020-07-15 00:05:16,82.202
2020-07-15 00:05:31,90.193
2020-07-15 00:05:46,82.511
2020-07-15 00:06:01,82.690
2020-07-15 00:06:16,82.961
2020-07-15 00:06:31,72.068
2020-07-15 00:06:46,83.149
2020-07-15 00:07:01,82.201
2020-07-15 00:07:16,82.322
2020-07-15 00:07:31,83.222
2020-07-15 00:07:46,82.496
2020-07-15 00:08:01,83.675
2020-07-15 00:08:16,83.742
2020-07-15 00:08:31,83.612
2020-07-15 00:08:46,84.033
2020-07-15 00:09:01,83.003
2020-07-15 00:09:16,83.880
2020-07-15 00:09:31,83.254
2020-07-15 00:09:46,84.017
2020-07-15 00:10:01,84.489
2020-07-15 00:10:16,84.636
2020-07-15 00:10:31,84.677
2020-07-15 00:10:46,84.822
2020-07-15 00:11:01,83.876
2020-07-15 00:11:16,83.564
2020-07-15 00:11:31,86.242
2020-07-15 00:11:46,82.228
2020-07-15 00:12:01,85.258
2020-07-15 00:12:16,85.973
2020-07-15 00:12:31,84.764
2020-07-15 00:12:46,84.270
2020-07-15 00:13:01,84.866
2020-07-15 00:13:16,84.857
2020-07-15 00:13:31,86.056
2020-07-15 00:13:46,86.080
2020-07-15 00:14:01,86.275
2020-07-15 00:14:16,85.299
2020-07-15 00:14:31,75.398
2020-07-15 00:14:46,86.658
2020-07-15 00:15:01,84.903
2020-07-15 00:15:16,85.356
2020-07-15 00:15:31,85.781
2020-07-15 00:15:46,86.263
2020-07-15 00:16:01,87.172
2020-07-15 00:16:16,86.146
2020-07-15 00:16:31,88.239
2020-07-15 00:16:46,87.439
2020-07-15 00:17:01,87.534
2020-07-15 00:17:16,89.038
2020-07-15 00:17:31,86.720
2020-07-15 00:17:46,87.790
2020-07-15 00:18:01,87.121
2020-07-15 00:18:16,87.658
2020-07-15 00:18:31,87.960
2020-07-15 00:18:46,86.820
2020-07-15 00:19:01,88.374
2020-07-15 00:19:16,88.504
2020-07-15 00:19:31,87.724
2020-07-15 00:19:46,87.228
2020-07-15 00:20:01,87.652
2020-07-15 00:20:16,87.821
2020-07-15 00:20:31,89.072
2020-07-15 00:20:46,88.084
2020-07-15 00:21:01,88.536
2020-07-15 00:21:16,88.043
2020-07-15 00:21:31,88.084
2020-07-15 00:21:46,88.541
2020-07-15 00:22:01,89.791
2020-07-15 00:22:16,89.784
2020-07-15 00:22:31,78.857
