datetime,ping
2020-07-01 15:08:06,174.633
2020-07-01 15:08:11,90.027
2020-07-01 15:08:16,82.028
2020-07-01 15:08:21,81.134
2020-07-01 15:08:26,81.147
2020-07-01 15:08:31,83.320
2020-07-01 15:08:36,81.203
2020-07-01 15:08:41,80.287
2020-07-01 15:08:46,80.356
2020-07-01 15:08:51,87.406
2020-07-01 15:08:56,79.385
2020-07-01 15:09:01,81.356
2020-07-01 15:09:06,81.412
2020-07-01 15:09:11,81.001
2020-07-01 15:09:16,87.549
2020-07-01 15:09:21,80.426
2020-07-01 15:09:26,81.339
2020-07-01 15:09:31,87.511
2020-07-01 15:09:36,80.678
2020-07-01 15:09:41,80.436
2020-07-01 15:09:46,80.707
2020-07-01 15:09:51,80.706
2020-07-01 15:09:56,81.008
2020-07-01 15:10:01,79.046
2020-07-01 15:10:06,81.572
2020-07-01 15:10:11,80.760
2020-07-01 15:10:16,61.450
2020-07-01 15:10:21,80.296
2020-07-01 15:10:26,82.256
2020-07-01 15:10:31,82.932
2020-07-01 15:10:36,82.715
2020-07-01 15:10:41,81.281
2020-07-01 15:10:46,81.297
2020-07-01 15:10:51,81.551
2020-07-01 15:10:56,87.388
2020-07-01 15:11:01,80.380
2020-07-01 15:11:06,81.945
2020-07-01 15:11:11,101.932
2020-07-01 15:11:16,81.140
2020-07-01 15:11:21,87.206
2020-07-01 15:11:26,81.860
2020-07-01 15:11:31,81.147
2020-07-01 15:11:36,82.463
2020-07-01 15:11:41,81.209
2020-07-01 15:11:46,81.160
2020-07-01 15:11:51,82.675
2020-07-01 15:11:56,81.435
2020-07-01 15:12:01,81.169
2020-07-01 15:12:06,81.434
2020-07-01 15:12:11,86.975
2020-07-01 15:12:16,81.511
2020-07-01 15:12:21,81.329
2020-07-01 15:12:26,81.242
2020-07-01 15:12:31,81.405
2020-07-01 15:12:36,81.420
2020-07-01 15:12:41,89.572
2020-07-01 15:12:46,81.596
2020-07-01 15:12:51,83.562
2020-07-01 15:12:56,61.664
2020-07-01 15:13:01,81.933
2020-07-01 15:13:06,81.525
2020-07-01 15:13:11,89.532
2020-07-01 15:13:16,81.607
2020-07-01 15:13:21,81.409
2020-07-01 15:13:26,82.215
2020-07-01 15:13:31,89.780
2020-07-01 15:13:36,81.320
2020-07-01 15:13:41,80.823
2020-07-01 15:13:46,81.957
2020-07-01 15:13:51,81.819
2020-07-01 15:13:56,81.787
2020-07-01 15:14:01,80.642
2020-07-01 15:14:06,81.616
2020-07-01 15:14:11,89.670
2020-07-01 15:14:16,82.764
2020-07-01 15:14:21,81.936
2020-07-01 15:14:26,81.846
2020-07-01 15:14:31,91.059
2020-07-01 15:14:36,81.803
2020-07-01 15:14:41,82.041
2020-07-01 15:14:46,82.401
2020-07-01 15:14:51,82.126
2020-07-01 15:14:56,84.166
2020-07-01 15:15:01,81.903
2020-07-01 15:15:06,82.115
2020-07-01 15:15:11,80.325
2020-07-01 15:15:16,90.189
2020-07-01 15:15:21,82.387
2020-07-01 15:15:26,82.346
2020-07-01 15:15:31,83.735
2020-07-01 15:15:36,62.440
2020-07-01 15:15:41,83.844
2020-07-01 15:15:46,91.377
2020-07-01 15:15:51,82.409
2020-07-01 15:15:56,82.488
2020-07-01 15:16:01,87.749
2020-07-01 15:16:06,82.290
2020-07-01 15:16:11,79.558
2020-07-01 15:16:16,88.662
2020-07-01 15:16:21,82.604
2020-07-01 15:16:26,81.413
2020-07-01 15:16:31,96.593
2020-07-01 15:16:36,83.361
2020-07-01 15:16:41,83.589
2020-07-01 15:16:46,82.990
2020-07-01 15:16:51,83.811
2020-07-01 15:16:56,83.753
2020-07-01 15:17:01,83.956
2020-07-01 15:17:06,83.846
2020-07-01 15:17:11,82.485
2020-07-01 15:17:16,82.847
2020-07-01 15:17:21,73.865
2020-07-01 15:17:26,74.034
2020-07-01 15:17:31,91.153
2020-07-01 15:17:36,73.026
2020-07-01 15:17:41,76.141
2020-07-01 15:17:46,84.509
2020-07-01 15:17:51,83.046
2020-07-01 15:17:56,72.940
2020-07-01 15:18:01,74.224
2020-07-01 15:18:06,73.187
2020-07-01 15:18:11,73.204
2020-07-01 15:18:16,62.995
2020-07-01 15:18:21,74.181
2020-07-01 15:18:26,74.306
2020-07-01 15:18:31,73.265
2020-07-01 15:18:36,74.239
2020-07-01 15:18:41,74.639
2020-07-01 15:18:46,80.692
2020-07-01 15:18:51,73.231
2020-07-01 15:18:56,85.146
2020-07-01 15:19:01,80.212
2020-07-01 15:19:06,74.798
2020-07-01 15:19:11,77.718
2020-07-01 15:19:16,93.279
2020-07-01 15:19:21,92.720
2020-07-01 15:19:26,76.359
2020-07-01 15:19:31,100.408
2020-07-01 15:19:36,75.546
2020-07-01 15:19:41,76.579
2020-07-01 15:19:46,76.608
2020-07-01 15:19:51,76.365
2020-07-01 15:19:56,76.672
2020-07-01 15:20:01,76.827
2020-07-01 15:20:06,76.722
2020-07-01 15:20:11,85.170
2020-07-01 15:20:16,76.752
2020-07-01 15:20:21,77.529
2020-07-01 15:20:26,80.855
2020-07-01 15:20:31,76.757
2020-07-01 15:20:36,76.964
2020-07-01 15:20:41,77.264
2020-07-01 15:20:46,76.668
2020-07-01 15:20:51,77.631
2020-07-01 15:20:56,93.017
2020-07-01 15:21:01,93.105
2020-07-01 15:21:06,74.921
2020-07-01 15:21:11,84.435
2020-07-01 15:21:16,74.869
2020-07-01 15:21:21,74.948
2020-07-01 15:21:26,74.040
2020-07-01 15:21:31,74.165
2020-07-01 15:21:36,74.137
2020-07-01 15:21:41,80.057
2020-07-01 15:21:46,77.126
2020-07-01 15:21:51,86.254
2020-07-01 15:21:56,72.945
2020-07-01 15:22:01,98.378
2020-07-01 15:22:06,74.548
2020-07-01 15:22:11,77.143
2020-07-01 15:22:16,78.661
2020-07-01 15:22:21,78.171
2020-07-01 15:22:26,67.219
2020-07-01 15:22:31,77.210
2020-07-01 15:22:36,77.454
2020-07-01 15:22:41,99.365
2020-07-01 15:22:46,77.773
2020-07-01 15:22:51,78.457
2020-07-01 15:22:56,112.845
2020-07-01 15:23:01,93.390
2020-07-01 15:23:06,74.567
2020-07-01 15:23:11,74.603
2020-07-01 15:23:16,74.384
2020-07-01 15:23:21,86.671
2020-07-01 15:23:26,74.662
2020-07-01 15:23:31,74.787
2020-07-01 15:23:36,75.807
2020-07-01 15:23:41,74.801
2020-07-01 15:23:46,76.201
2020-07-01 15:23:51,76.758
2020-07-01 15:23:56,74.603
2020-07-01 15:24:01,74.916
2020-07-01 15:24:06,74.646
2020-07-01 15:24:11,75.614
2020-07-01 15:24:16,76.817
2020-07-01 15:24:21,75.153
2020-07-01 15:24:26,75.369
2020-07-01 15:24:31,79.973
2020-07-01 15:24:36,74.715
2020-07-01 15:24:41,78.477
2020-07-01 15:24:46,100.040
2020-07-01 15:24:51,75.272
2020-07-01 15:24:56,79.085
2020-07-01 15:25:01,66.266
2020-07-01 15:25:06,75.968
2020-07-01 15:25:11,76.016
2020-07-01 15:25:16,73.789
2020-07-01 15:25:21,91.039
2020-07-01 15:25:26,76.260
2020-07-01 15:25:31,83.186
2020-07-01 15:25:36,76.264
2020-07-01 15:25:41,75.579
2020-07-01 15:25:46,75.327
