datetime,1st-id,1st-rtt,2nd-id,2nd-rtt,3rd-id,3rd-rtt,4th-id,4th-rtt,5th-id,5th-rtt,6th-id,6th-rtt,7th-id,7th-rtt,8th-id,8th-rtt,9th-id,9th-rtt,10th-id,10th-rtt,11th-id,11th-rtt,12th-id,12th-rtt,13th-id,13th-rtt,14th-id,14th-rtt,15th-id,15th-rtt,16th-id,16th-rtt,17th-id,17th-rtt,18th-id,18th-rtt,19th-id,19th-rtt,20th-id,20th-rtt,21th-id,21th-rtt,22th-id,22th-rtt,23th-id,23th-rtt,24th-id,24th-rtt,25th-id,25th-rtt,26th-id,26th-rtt,27th-id,27th-rtt,28th-id,28th-rtt,29th-id,29th-rtt,30th-id,30th-rtt,ping
2020/03/03 17:00:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),38.166,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),58.310,210.138.106.238(210.138.106.238),58.274,183.79.224.146(183.79.224.146),59.985,183.79.250.123(183.79.250.123),58.170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.302
2020/03/03 17:00:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),60.993,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),74.088,210.138.106.238(210.138.106.238),74.006,183.79.224.150(183.79.224.150),75.513,183.79.217.124(183.79.217.124),73.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.251
2020/03/03 17:00:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),43.988,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),54.807,210.138.106.238(210.138.106.238),56.775,183.79.224.150(183.79.224.150),56.684,183.79.217.124(183.79.217.124),56.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.266
2020/03/03 17:01:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),46.558,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),67.417,210.138.106.238(210.138.106.238),69.552,183.79.224.150(183.79.224.150),69.502,183.79.217.124(183.79.217.124),69.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.208
2020/03/03 17:01:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),45.708,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),67.967,210.138.106.238(210.138.106.238),67.933,183.79.224.150(183.79.224.150),67.876,183.79.217.124(183.79.217.124),67.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.048
2020/03/03 17:01:31,*,,tky008nasgw110.IIJ.Net(160.13.52.245),40.145,*,,tky001bb10.IIJ.Net(58.138.80.97),42.552,tky001ix50.IIJ.Net(58.138.102.18),47.929,210.130.154.162(210.130.154.162),51.309,*,,182.22.28.252(182.22.28.252),51.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.012
2020/03/03 17:01:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),37.236,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),58.710,210.138.106.238(210.138.106.238),58.655,183.79.224.146(183.79.224.146),58.607,183.79.250.123(183.79.250.123),58.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.008
2020/03/03 17:02:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),35.985,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),55.665,210.138.106.238(210.138.106.238),55.615,183.79.224.202(183.79.224.202),57.700,183.79.250.251(183.79.250.251),55.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.990
2020/03/03 17:02:16,*,,tky008nasgw110.IIJ.Net(160.13.52.245),35.785,*,,tky001bb10.IIJ.Net(58.138.80.97),35.680,tky001ix50.IIJ.Net(58.138.102.18),46.085,210.130.154.162(210.130.154.162),48.019,*,,182.22.28.252(182.22.28.252),47.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.118
2020/03/03 17:02:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),29.005,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),50.009,210.138.106.238(210.138.106.238),54.724,124.83.228.54(124.83.228.54),49.902,124.83.228.222(124.83.228.222),49.844,*,,*,,183.79.219.253(183.79.219.253),49.704,183.79.219.252(183.79.219.252),49.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.427
