datetime,ping
2020/03/21 07:00:16,40.011
2020/03/21 07:00:31,28.258
2020/03/21 07:00:46,40.009
2020/03/21 07:01:01,29.154
2020/03/21 07:01:16,41.793
2020/03/21 07:01:31,33.233
2020/03/21 07:01:46,31.051
2020/03/21 07:02:01,37.221
2020/03/21 07:02:16,31.631
2020/03/21 07:02:31,30.324
2020/03/21 07:02:46,30.638
2020/03/21 07:03:01,38.224
2020/03/21 07:03:16,44.060
2020/03/21 07:03:31,39.486
2020/03/21 07:03:46,31.260
2020/03/21 07:04:01,30.366
2020/03/21 07:04:16,28.426
2020/03/21 07:04:31,25.961
2020/03/21 07:04:46,32.332
2020/03/21 07:05:01,30.703
2020/03/21 07:05:16,37.312
2020/03/21 07:05:31,27.676
2020/03/21 07:05:46,31.739
2020/03/21 07:06:01,46.795
2020/03/21 07:06:16,42.605
2020/03/21 07:06:31,29.617
2020/03/21 07:06:46,32.052
2020/03/21 07:07:01,91.583
2020/03/21 07:07:16,38.821
2020/03/21 07:07:31,32.225
2020/03/21 07:07:46,29.200
2020/03/21 07:08:01,26.695
2020/03/21 07:08:16,29.058
2020/03/21 07:08:31,37.642
2020/03/21 07:08:46,30.610
2020/03/21 07:09:01,28.730
2020/03/21 07:09:16,37.436
2020/03/21 07:09:31,40.474
2020/03/21 07:09:46,28.204
2020/03/21 07:10:01,29.133
2020/03/21 07:10:16,37.106
2020/03/21 07:10:31,26.836
2020/03/21 07:10:46,36.588
2020/03/21 07:11:01,31.786
2020/03/21 07:11:16,27.232
2020/03/21 07:11:31,29.552
2020/03/21 07:11:46,37.519
2020/03/21 07:12:01,27.015
2020/03/21 07:12:16,37.206
2020/03/21 07:12:31,26.604
2020/03/21 07:12:46,40.983
2020/03/21 07:13:01,49.678
2020/03/21 07:13:16,46.676
2020/03/21 07:13:31,33.445
2020/03/21 07:13:46,31.977
2020/03/21 07:14:01,31.123
2020/03/21 07:14:16,27.794
2020/03/21 07:14:31,36.385
2020/03/21 07:14:46,27.746
2020/03/21 07:15:01,30.776
2020/03/21 07:15:16,41.421
2020/03/21 07:15:31,28.199
2020/03/21 07:15:46,31.735
2020/03/21 07:16:01,32.106
2020/03/21 07:16:16,29.268
2020/03/21 07:16:31,47.132
2020/03/21 07:16:46,32.426
2020/03/21 07:17:01,42.416
2020/03/21 07:17:16,31.482
2020/03/21 07:17:31,26.717
2020/03/21 07:17:46,42.088
2020/03/21 07:18:01,41.240
2020/03/21 07:18:16,29.306
2020/03/21 07:18:31,37.359
2020/03/21 07:18:46,40.090
2020/03/21 07:19:01,24.655
2020/03/21 07:19:16,29.592
2020/03/21 07:19:31,28.341
2020/03/21 07:19:46,43.339
2020/03/21 07:20:01,41.728
2020/03/21 07:20:16,29.522
2020/03/21 07:20:31,32.285
2020/03/21 07:20:46,34.372
2020/03/21 07:21:01,30.946
2020/03/21 07:21:16,39.698
2020/03/21 07:21:31,27.352
2020/03/21 07:21:46,31.831
2020/03/21 07:22:01,52.687
2020/03/21 07:22:16,25.729
2020/03/21 07:22:31,43.366
2020/03/21 07:22:46,32.306
2020/03/21 07:23:01,39.781
2020/03/21 07:23:16,29.579
2020/03/21 07:23:31,41.503
2020/03/21 07:23:46,28.777
2020/03/21 07:24:01,44.915
2020/03/21 07:24:16,29.029
2020/03/21 07:24:31,30.401
2020/03/21 07:24:46,39.113
2020/03/21 07:25:01,40.298
2020/03/21 07:25:16,40.802
2020/03/21 07:25:31,50.635
2020/03/21 07:25:46,31.904
2020/03/21 07:26:01,39.847
2020/03/21 07:26:16,39.224
2020/03/21 07:26:31,31.713
2020/03/21 07:26:46,37.211
2020/03/21 07:27:01,33.002
2020/03/21 07:27:16,39.062
2020/03/21 07:27:31,30.275
2020/03/21 07:27:46,29.797
2020/03/21 07:28:01,40.390
2020/03/21 07:28:16,39.527
2020/03/21 07:28:31,37.215
2020/03/21 07:28:46,51.826
2020/03/21 07:29:01,37.356
2020/03/21 07:29:16,39.857
2020/03/21 07:29:31,29.605
2020/03/21 07:29:46,36.189
2020/03/21 07:30:01,29.039
2020/03/21 07:30:16,37.487
2020/03/21 07:30:31,35.833
2020/03/21 07:30:46,49.160
2020/03/21 07:31:01,37.081
2020/03/21 07:31:16,27.049
2020/03/21 07:31:31,43.367
2020/03/21 07:31:46,35.315
2020/03/21 07:32:01,48.705
2020/03/21 07:32:16,30.233
2020/03/21 07:32:31,28.119
2020/03/21 07:32:46,26.912
2020/03/21 07:33:01,39.310
2020/03/21 07:33:16,47.746
2020/03/21 07:33:31,29.349
2020/03/21 07:33:46,31.007
2020/03/21 07:34:01,29.196
2020/03/21 07:34:16,33.928
2020/03/21 07:34:31,34.100
2020/03/21 07:34:46,36.373
2020/03/21 07:35:01,37.748
2020/03/21 07:35:16,37.789
2020/03/21 07:35:31,52.316
2020/03/21 07:35:46,40.997
2020/03/21 07:36:01,30.717
2020/03/21 07:36:16,22.111
2020/03/21 07:36:31,28.098
2020/03/21 07:36:46,31.294
2020/03/21 07:37:01,29.112
2020/03/21 07:37:16,38.941
2020/03/21 07:37:31,35.528
2020/03/21 07:37:46,31.627
2020/03/21 07:38:01,38.722
2020/03/21 07:38:16,29.161
2020/03/21 07:38:31,30.549
2020/03/21 07:38:46,42.253
2020/03/21 07:39:01,31.847
2020/03/21 07:39:16,43.216
2020/03/21 07:39:31,42.325
2020/03/21 07:39:46,41.480
2020/03/21 07:40:01,29.788
2020/03/21 07:40:16,31.385
2020/03/21 07:40:31,38.161
2020/03/21 07:40:46,52.068
2020/03/21 07:41:01,39.144
2020/03/21 07:41:16,30.768
2020/03/21 07:41:31,32.337
2020/03/21 07:41:46,38.951
2020/03/21 07:42:01,39.211
2020/03/21 07:42:16,40.405
2020/03/21 07:42:31,43.120
2020/03/21 07:42:46,36.752
2020/03/21 07:43:01,41.150
2020/03/21 07:43:16,42.754
2020/03/21 07:43:31,30.638
2020/03/21 07:43:46,39.482
2020/03/21 07:44:01,35.550
2020/03/21 07:44:16,35.367
2020/03/21 07:44:31,30.101
2020/03/21 07:44:46,34.419
2020/03/21 07:45:01,34.711
2020/03/21 07:45:16,45.850
2020/03/21 07:45:31,39.794
2020/03/21 07:45:46,35.277
2020/03/21 07:46:01,41.370
2020/03/21 07:46:16,21.544
2020/03/21 07:46:31,27.635
2020/03/21 07:46:46,32.978
2020/03/21 07:47:01,34.667
2020/03/21 07:47:16,30.938
2020/03/21 07:47:31,32.833
2020/03/21 07:47:46,50.199
2020/03/21 07:48:01,32.917
2020/03/21 07:48:16,27.806
2020/03/21 07:48:31,34.655
2020/03/21 07:48:46,47.104
2020/03/21 07:49:01,30.317
2020/03/21 07:49:16,41.233
2020/03/21 07:49:31,30.886
2020/03/21 07:49:46,31.094
2020/03/21 07:50:01,36.486
2020/03/21 07:50:16,50.696
2020/03/21 07:50:31,32.284
2020/03/21 07:50:46,36.641
2020/03/21 07:51:01,67.017
2020/03/21 07:51:16,39.007
2020/03/21 07:51:31,42.561
2020/03/21 07:51:46,41.981
2020/03/21 07:52:01,45.406
2020/03/21 07:52:16,29.335
2020/03/21 07:52:31,40.263
2020/03/21 07:52:46,32.581
2020/03/21 07:53:01,35.126
2020/03/21 07:53:16,43.629
2020/03/21 07:53:31,30.315
2020/03/21 07:53:46,41.243
2020/03/21 07:54:01,39.998
2020/03/21 07:54:16,31.017
2020/03/21 07:54:31,30.356
2020/03/21 07:54:46,40.436
2020/03/21 07:55:01,28.039
2020/03/21 07:55:16,27.181
2020/03/21 07:55:31,27.580
