datetime,ping
2020-06-24 12:00:16.372903,185.438
2020-06-24 12:00:16.384727,173.566
2020-06-24 12:00:16.395933,162.557
2020-06-24 12:00:16.406882,151.310
2020-06-24 12:00:16.417918,139.707
2020-06-24 12:00:16.429026,128.935
2020-06-24 12:00:16.440452,116.499
2020-06-24 12:00:16.451703,105.725
2020-06-24 12:00:16.462775,94.995
2020-06-24 12:00:16.473736,67.393
2020-06-24 12:00:31.372329,84.380
2020-06-24 12:00:31.382792,73.657
2020-06-24 12:00:31.396213,59.496
2020-06-24 12:00:31.403831,51.285
2020-06-24 12:00:31.414290,50.906
2020-06-24 12:00:31.424805,48.322
2020-06-24 12:00:31.435298,38.635
2020-06-24 12:00:31.446253,39.308
2020-06-24 12:00:31.456728,35.942
2020-06-24 12:00:31.471864,35.378
2020-06-24 12:00:46.372369,77.712
2020-06-24 12:00:46.382927,78.905
2020-06-24 12:00:46.401320,59.266
2020-06-24 12:00:46.407808,64.088
2020-06-24 12:00:46.418229,56.592
2020-06-24 12:00:46.436175,43.613
2020-06-24 12:00:46.439797,41.396
2020-06-24 12:00:46.451015,49.169
2020-06-24 12:00:46.460744,63.303
2020-06-24 12:00:46.476044,55.263
2020-06-24 12:01:01.372237,74.793
2020-06-24 12:01:01.382734,66.528
2020-06-24 12:01:01.393257,53.435
2020-06-24 12:01:01.403655,46.053
2020-06-24 12:01:01.414155,53.168
2020-06-24 12:01:01.424656,44.249
2020-06-24 12:01:01.436235,45.735
2020-06-24 12:01:01.445965,38.671
2020-06-24 12:01:01.456584,33.195
2020-06-24 12:01:01.467879,33.148
2020-06-24 12:01:16.372362,86.027
2020-06-24 12:01:16.382992,75.428
2020-06-24 12:01:16.395411,62.216
2020-06-24 12:01:16.405986,48.614
2020-06-24 12:01:16.416449,50.723
2020-06-24 12:01:16.426929,49.929
2020-06-24 12:01:16.437416,47.216
2020-06-24 12:01:16.448038,45.393
2020-06-24 12:01:16.458499,46.700
2020-06-24 12:01:16.470276,39.897
2020-06-24 12:01:31.372340,77.126
2020-06-24 12:01:31.384713,73.492
2020-06-24 12:01:31.395301,62.016
2020-06-24 12:01:31.405718,54.209
2020-06-24 12:01:31.416317,44.164
2020-06-24 12:01:31.426763,47.275
2020-06-24 12:01:31.437236,39.720
2020-06-24 12:01:31.447774,35.308
2020-06-24 12:01:31.458330,38.697
2020-06-24 12:01:31.469362,49.633
2020-06-24 12:01:46.372403,90.483
2020-06-24 12:01:46.384903,76.678
2020-06-24 12:01:46.397315,62.279
2020-06-24 12:01:46.414839,48.147
2020-06-24 12:01:46.425702,44.657
2020-06-24 12:01:46.436259,42.408
2020-06-24 12:01:46.448491,40.663
2020-06-24 12:01:46.459003,45.120
2020-06-24 12:01:46.469470,31.018
2020-06-24 12:01:46.480391,34.446
2020-06-24 12:02:01.372389,96.646
2020-06-24 12:02:01.384852,84.308
2020-06-24 12:02:01.395399,75.434
2020-06-24 12:02:01.407138,62.191
2020-06-24 12:02:01.416397,53.186
2020-06-24 12:02:01.426887,46.611
2020-06-24 12:02:01.437401,41.687
2020-06-24 12:02:01.447882,39.638
2020-06-24 12:02:01.458411,35.685
2020-06-24 12:02:01.471403,37.246
2020-06-24 12:02:16.372422,100.863
2020-06-24 12:02:16.382994,89.170
2020-06-24 12:02:16.395766,76.132
2020-06-24 12:02:16.406285,67.623
2020-06-24 12:02:16.416741,57.466
2020-06-24 12:02:16.427237,46.353
2020-06-24 12:02:16.437658,46.220
2020-06-24 12:02:16.448145,46.624
2020-06-24 12:02:16.458669,39.789
2020-06-24 12:02:16.469141,33.479
2020-06-24 12:02:31.372357,78.443
2020-06-24 12:02:31.383008,67.031
2020-06-24 12:02:31.393536,54.279
2020-06-24 12:02:31.404136,44.838
2020-06-24 12:02:31.415011,43.908
2020-06-24 12:02:31.425129,42.679
2020-06-24 12:02:31.435537,32.936
2020-06-24 12:02:31.446082,43.314
2020-06-24 12:02:31.456608,48.568
2020-06-24 12:02:31.471730,33.071
2020-06-24 12:02:46.372393,77.366
2020-06-24 12:02:46.382920,67.113
2020-06-24 12:02:46.393856,54.011
2020-06-24 12:02:46.405103,40.951
2020-06-24 12:02:46.415036,42.923
2020-06-24 12:02:46.425447,49.941
2020-06-24 12:02:46.436074,46.882
2020-06-24 12:02:46.446538,48.780
2020-06-24 12:02:46.457092,45.891
2020-06-24 12:02:46.471182,41.832
2020-06-24 12:03:01.372317,98.187
2020-06-24 12:03:01.383231,85.629
2020-06-24 12:03:01.393759,75.117
2020-06-24 12:03:01.404393,64.494
2020-06-24 12:03:01.414840,56.221
2020-06-24 12:03:01.425357,46.812
2020-06-24 12:03:01.435957,41.386
2020-06-24 12:03:01.446526,33.451
2020-06-24 12:03:01.457007,31.791
2020-06-24 12:03:01.467515,36.549
2020-06-24 12:03:16.372338,76.822
2020-06-24 12:03:16.384715,66.587
2020-06-24 12:03:16.395272,54.622
2020-06-24 12:03:16.405829,43.404
2020-06-24 12:03:16.418507,40.552
2020-06-24 12:03:16.429048,37.671
2020-06-24 12:03:16.439453,30.336
2020-06-24 12:03:16.449935,36.347
2020-06-24 12:03:16.460650,44.796
2020-06-24 12:03:16.472421,28.854
2020-06-24 12:03:31.372313,77.378
2020-06-24 12:03:31.384675,72.827
2020-06-24 12:03:31.395254,64.262
2020-06-24 12:03:31.405789,52.480
2020-06-24 12:03:31.416322,73.404
2020-06-24 12:03:31.426910,67.415
2020-06-24 12:03:31.437299,60.225
2020-06-24 12:03:31.448160,50.934
2020-06-24 12:03:31.458715,61.999
2020-06-24 12:03:31.469232,69.769
2020-06-24 12:03:46.372333,93.450
2020-06-24 12:03:46.384926,79.579
2020-06-24 12:03:46.395441,67.760
2020-06-24 12:03:46.406025,56.217
2020-06-24 12:03:46.416652,60.477
2020-06-24 12:03:46.427044,56.060
2020-06-24 12:03:46.437468,44.174
2020-06-24 12:03:46.447980,38.384
2020-06-24 12:03:46.458791,46.492
2020-06-24 12:03:46.474884,40.074
2020-06-24 12:04:01.372390,94.373
2020-06-24 12:04:01.382885,82.581
