datetime,ping
2020-06-27 12:00:16.397731,181.804
2020-06-27 12:00:16.409055,170.587
2020-06-27 12:00:16.420099,159.387
2020-06-27 12:00:16.431057,148.214
2020-06-27 12:00:16.442132,136.663
2020-06-27 12:00:16.453181,125.713
2020-06-27 12:00:16.464416,112.795
2020-06-27 12:00:16.476326,92.696
2020-06-27 12:00:16.490700,81.841
2020-06-27 12:00:16.506539,66.679
2020-06-27 12:00:31.397308,80.481
2020-06-27 12:00:31.409679,68.316
2020-06-27 12:00:31.420215,56.967
2020-06-27 12:00:31.430753,46.191
2020-06-27 12:00:31.441211,53.178
2020-06-27 12:00:31.451716,42.209
2020-06-27 12:00:31.462184,42.419
2020-06-27 12:00:31.472721,35.053
2020-06-27 12:00:31.483228,49.622
2020-06-27 12:00:31.494738,37.955
2020-06-27 12:00:46.397240,80.658
2020-06-27 12:00:46.408100,69.830
2020-06-27 12:00:46.420591,54.178
2020-06-27 12:00:46.431085,44.025
2020-06-27 12:00:46.441605,51.255
2020-06-27 12:00:46.452167,41.748
2020-06-27 12:00:46.462647,42.588
2020-06-27 12:00:46.473094,59.666
2020-06-27 12:00:46.483552,49.723
2020-06-27 12:00:46.494794,41.070
2020-06-27 12:01:01.397250,76.848
2020-06-27 12:01:01.407738,69.840
2020-06-27 12:01:01.418232,58.064
2020-06-27 12:01:01.428718,46.762
2020-06-27 12:01:01.439254,53.224
2020-06-27 12:01:01.449736,44.800
2020-06-27 12:01:01.460253,59.122
2020-06-27 12:01:01.470767,54.557
2020-06-27 12:01:01.481224,53.214
2020-06-27 12:01:01.491968,45.968
2020-06-27 12:01:16.397290,80.110
2020-06-27 12:01:16.407836,71.020
2020-06-27 12:01:16.420310,57.367
2020-06-27 12:01:16.430890,48.129
2020-06-27 12:01:16.441321,51.936
2020-06-27 12:01:16.452201,41.090
2020-06-27 12:01:16.462703,46.863
2020-06-27 12:01:16.473161,36.134
2020-06-27 12:01:16.483585,44.392
2020-06-27 12:01:16.495150,35.770
2020-06-27 12:01:31.397346,79.067
2020-06-27 12:01:31.407845,69.533
2020-06-27 12:01:31.418370,58.079
2020-06-27 12:01:31.428884,47.167
2020-06-27 12:01:31.440781,61.545
2020-06-27 12:01:31.449913,61.967
2020-06-27 12:01:31.460403,54.131
2020-06-27 12:01:31.471291,54.056
2020-06-27 12:01:31.481859,55.331
2020-06-27 12:01:31.493845,58.455
2020-06-27 12:01:46.397253,80.374
2020-06-27 12:01:46.410029,67.756
