datetime,ping
2020-06-17 15:33:10.971912,46.524
2020-06-17 15:33:10.972887,47.345
2020-06-17 15:33:10.976469,45.448
2020-06-17 15:33:10.982679,61.658
2020-06-17 15:33:10.988653,61.661
2020-06-17 15:33:10.993384,44.517
2020-06-17 15:33:10.997131,60.632
2020-06-17 15:33:11.17008,59.022
2020-06-17 15:33:11.20927,58.553
2020-06-17 15:33:11.3106,59.976
2020-06-17 15:33:25.971549,41.276
2020-06-17 15:33:25.971863,32.302
2020-06-17 15:33:25.977174,41.545
2020-06-17 15:33:25.977749,40.926
2020-06-17 15:33:25.978407,40.092
2020-06-17 15:33:25.978942,39.500
2020-06-17 15:33:25.981777,41.541
2020-06-17 15:33:25.989110,49.063
2020-06-17 15:33:26.3131,50.727
2020-06-17 15:33:26.5008,49.059
2020-06-17 15:33:40.971447,42.910
2020-06-17 15:33:40.974500,41.388
2020-06-17 15:33:40.978498,50.010
2020-06-17 15:33:40.979991,41.318
2020-06-17 15:33:40.982558,49.260
2020-06-17 15:33:40.983727,42.866
2020-06-17 15:33:40.984433,49.869
2020-06-17 15:33:40.985158,47.744
2020-06-17 15:33:40.994036,47.746
2020-06-17 15:33:41.10894,48.138
2020-06-17 15:33:55.971672,30.080
2020-06-17 15:33:55.972363,29.932
2020-06-17 15:33:55.978207,29.904
2020-06-17 15:33:55.978751,47.494
2020-06-17 15:33:55.985399,46.911
2020-06-17 15:33:55.986582,47.614
2020-06-17 15:33:55.987146,51.965
2020-06-17 15:33:55.991792,52.752
2020-06-17 15:33:55.995113,46.953
2020-06-17 15:33:55.996718,53.971
2020-06-17 15:34:10.971424,29.627
2020-06-17 15:34:10.974622,46.132
2020-06-17 15:34:10.975269,38.316
2020-06-17 15:34:10.976154,46.395
2020-06-17 15:34:10.984670,37.808
2020-06-17 15:34:10.988752,45.941
2020-06-17 15:34:10.992356,35.568
2020-06-17 15:34:10.994370,45.661
2020-06-17 15:34:10.998739,46.399
2020-06-17 15:34:11.3179,35.566
2020-06-17 15:34:25.971431,41.136
2020-06-17 15:34:25.974409,48.468
2020-06-17 15:34:25.978199,48.470
2020-06-17 15:34:25.979094,49.013
2020-06-17 15:34:25.985693,38.817
2020-06-17 15:34:25.986662,40.544
2020-06-17 15:34:25.987151,45.749
2020-06-17 15:34:25.988798,47.941
2020-06-17 15:34:25.994057,45.754
2020-06-17 15:34:25.995573,45.768
2020-06-17 15:34:40.971630,45.141
2020-06-17 15:34:40.972125,37.229
2020-06-17 15:34:40.972348,44.494
2020-06-17 15:34:40.972724,42.418
2020-06-17 15:34:40.977338,44.889
2020-06-17 15:34:40.983805,37.976
2020-06-17 15:34:40.987682,42.218
2020-06-17 15:34:40.989166,43.940
2020-06-17 15:34:40.998845,44.522
2020-06-17 15:34:41.2020,37.231
2020-06-17 15:34:55.971439,32.357
2020-06-17 15:34:55.972060,44.054
2020-06-17 15:34:55.972377,30.080
2020-06-17 15:34:55.978954,46.400
2020-06-17 15:34:55.983663,47.843
2020-06-17 15:34:55.984464,46.404
2020-06-17 15:34:55.989214,29.433
2020-06-17 15:34:55.990094,30.083
2020-06-17 15:34:55.990652,47.639
2020-06-17 15:34:55.991191,47.846
2020-06-17 15:35:10.971409,36.482
2020-06-17 15:35:10.974507,41.925
2020-06-17 15:35:10.975231,35.760
2020-06-17 15:35:10.982237,41.667
2020-06-17 15:35:10.983659,34.911
2020-06-17 15:35:10.984269,42.460
2020-06-17 15:35:10.988545,37.633
2020-06-17 15:35:10.992070,41.384
2020-06-17 15:35:10.995791,43.788
2020-06-17 15:35:11.889,41.926
2020-06-17 15:35:25.971547,46.162
2020-06-17 15:35:25.972275,47.151
2020-06-17 15:35:25.972771,53.995
2020-06-17 15:35:25.975459,45.466
2020-06-17 15:35:25.978725,51.466
2020-06-17 15:35:25.988021,45.422
2020-06-17 15:35:25.989196,46.151
2020-06-17 15:35:25.993502,54.370
2020-06-17 15:35:26.4525,43.813
2020-06-17 15:35:26.5503,53.774
2020-06-17 15:35:40.971627,67.030
2020-06-17 15:35:40.971916,41.946
2020-06-17 15:35:40.972090,64.726
2020-06-17 15:35:40.977710,67.026
2020-06-17 15:35:40.983762,64.728
2020-06-17 15:35:40.985204,63.599
2020-06-17 15:35:40.985657,64.729
2020-06-17 15:35:40.995193,64.068
2020-06-17 15:35:40.995797,64.261
2020-06-17 15:35:40.996081,64.611
2020-06-17 15:36:10.971568,56.908
2020-06-17 15:36:10.971920,58.073
2020-06-17 15:36:10.977127,56.888
2020-06-17 15:36:10.981828,58.319
2020-06-17 15:36:10.982428,59.914
2020-06-17 15:36:10.982834,57.610
2020-06-17 15:36:10.983411,59.911
2020-06-17 15:36:10.990882,55.347
2020-06-17 15:36:10.997308,55.718
2020-06-17 15:36:11.659,60.431
2020-06-17 15:36:25.971592,37.378
2020-06-17 15:36:25.971930,39.117
2020-06-17 15:36:25.977623,38.792
2020-06-17 15:36:25.978369,38.828
2020-06-17 15:36:25.979254,46.412
2020-06-17 15:36:25.979718,46.321
2020-06-17 15:36:25.990110,43.884
2020-06-17 15:36:25.990930,44.372
2020-06-17 15:36:25.992331,39.426
2020-06-17 15:36:25.992878,44.546
2020-06-17 15:36:40.971421,37.773
2020-06-17 15:36:40.974658,38.781
2020-06-17 15:36:40.975181,38.609
2020-06-17 15:36:40.975685,37.968
2020-06-17 15:36:40.984942,37.085
2020-06-17 15:36:40.985760,39.381
2020-06-17 15:36:40.986618,37.968
2020-06-17 15:36:40.987645,45.672
2020-06-17 15:36:40.997603,46.050
2020-06-17 15:36:41.10590,38.147
2020-06-17 15:36:55.971424,27.386
2020-06-17 15:36:55.974440,54.880
2020-06-17 15:36:55.978350,53.041
2020-06-17 15:36:55.979419,54.881
2020-06-17 15:36:55.985455,53.039
2020-06-17 15:36:55.989559,59.246
2020-06-17 15:36:56.1287,63.318
2020-06-17 15:36:56.5449,57.599
2020-06-17 15:36:56.6178,62.558
2020-06-17 15:36:56.6543,58.846
2020-06-17 15:37:10.971517,46.856
2020-06-17 15:37:10.972182,49.432
2020-06-17 15:37:10.977113,46.820
2020-06-17 15:37:10.978735,46.614
2020-06-17 15:37:10.979338,50.001
2020-06-17 15:37:10.986453,45.377
2020-06-17 15:37:10.991641,46.152
2020-06-17 15:37:10.995409,46.282
2020-06-17 15:37:10.996755,44.381
2020-06-17 15:37:11.547,50.005
2020-06-17 15:37:25.971679,42.793
2020-06-17 15:37:25.971916,42.701
2020-06-17 15:37:25.972507,43.289
2020-06-17 15:37:25.975006,50.465
2020-06-17 15:37:25.981228,44.459
2020-06-17 15:37:25.986398,50.452
2020-06-17 15:37:25.987273,41.542
2020-06-17 15:37:25.996545,43.947
2020-06-17 15:37:26.4518,42.626
2020-06-17 15:37:26.494,44.456
2020-06-17 15:37:40.971764,47.749
2020-06-17 15:37:40.972043,47.697
2020-06-17 15:37:40.972370,40.762
2020-06-17 15:37:40.973008,54.543
2020-06-17 15:37:40.975364,40.746
2020-06-17 15:37:40.978497,39.103
2020-06-17 15:37:40.980346,54.552
2020-06-17 15:37:40.980715,54.548
2020-06-17 15:37:40.998511,46.121
2020-06-17 15:37:41.4343,46.124
2020-06-17 15:37:55.971625,46.296
2020-06-17 15:37:55.971988,44.701
2020-06-17 15:37:55.972517,44.700
2020-06-17 15:37:55.972827,52.828
2020-06-17 15:37:55.983935,52.831
2020-06-17 15:37:55.985181,51.623
2020-06-17 15:37:55.985797,50.271
2020-06-17 15:37:55.989462,52.832
2020-06-17 15:37:55.990405,50.273
2020-06-17 15:37:55.997216,52.249
2020-06-17 15:38:10.971425,43.162
2020-06-17 15:38:10.972097,42.448
2020-06-17 15:38:10.972301,42.820
2020-06-17 15:38:10.975067,41.940
