datetime,ping
2020-08-03 19:00:02.889820,207.386
2020-08-03 19:00:02.901144,195.766
2020-08-03 19:00:02.912236,184.434
2020-08-03 19:00:02.923343,175.342
2020-08-03 19:00:02.934348,164.149
2020-08-03 19:00:02.945889,151.537
2020-08-03 19:00:02.957123,139.811
2020-08-03 19:00:02.969458,128.524
2020-08-03 19:00:02.980628,117.093
2020-08-03 19:00:02.991897,105.137
2020-08-03 19:00:03.104223,45.065
2020-08-03 19:00:03.115166,80.154
2020-08-03 19:00:03.126189,70.837
2020-08-03 19:00:03.136675,60.541
2020-08-03 19:00:03.14634,82.584
2020-08-03 19:00:03.150886,44.982
2020-08-03 19:00:03.161362,70.364
2020-08-03 19:00:03.172185,63.231
2020-08-03 19:00:03.182550,53.630
2020-08-03 19:00:03.193123,42.958
2020-08-03 19:00:03.206713,54.982
2020-08-03 19:00:03.215311,57.991
2020-08-03 19:00:03.225117,50.547
2020-08-03 19:00:03.235675,63.442
2020-08-03 19:00:03.246350,66.780
2020-08-03 19:00:03.256684,47.370
2020-08-03 19:00:03.25754,69.809
2020-08-03 19:00:03.267175,48.489
2020-08-03 19:00:03.277697,75.060
2020-08-03 19:00:03.288140,66.586
2020-08-03 19:00:03.2968,94.300
2020-08-03 19:00:03.298913,58.366
2020-08-03 19:00:03.309758,43.782
2020-08-03 19:00:03.320319,69.613
2020-08-03 19:00:03.331354,61.078
2020-08-03 19:00:03.341217,51.004
2020-08-03 19:00:03.353398,40.877
2020-08-03 19:00:03.363910,68.948
2020-08-03 19:00:03.36745,59.197
2020-08-03 19:00:03.374319,61.804
2020-08-03 19:00:03.384829,49.451
2020-08-03 19:00:03.395310,41.436
2020-08-03 19:00:03.405823,66.427
2020-08-03 19:00:03.416329,58.980
2020-08-03 19:00:03.426885,47.079
2020-08-03 19:00:03.437301,69.543
2020-08-03 19:00:03.447750,62.116
2020-08-03 19:00:03.458115,57.123
2020-08-03 19:00:03.468575,47.728
2020-08-03 19:00:03.479071,75.863
2020-08-03 19:00:03.48216,56.746
2020-08-03 19:00:03.489471,60.917
2020-08-03 19:00:03.501151,55.913
2020-08-03 19:00:03.511691,45.138
2020-08-03 19:00:03.522167,72.315
2020-08-03 19:00:03.533211,62.297
2020-08-03 19:00:03.543667,52.592
2020-08-03 19:00:03.554163,40.915
2020-08-03 19:00:03.564655,57.888
2020-08-03 19:00:03.574918,49.124
2020-08-03 19:00:03.585836,49.727
2020-08-03 19:00:03.59279,42.529
2020-08-03 19:00:03.596672,73.344
2020-08-03 19:00:03.606922,64.766
2020-08-03 19:00:03.617317,57.664
2020-08-03 19:00:03.627851,45.294
2020-08-03 19:00:03.642401,61.065
2020-08-03 19:00:03.651928,55.266
2020-08-03 19:00:03.662523,43.826
2020-08-03 19:00:03.673005,39.149
2020-08-03 19:00:03.683487,57.490
2020-08-03 19:00:03.693851,48.302
2020-08-03 19:00:03.704433,49.217
2020-08-03 19:00:03.70778,42.427
2020-08-03 19:00:03.714857,51.609
2020-08-03 19:00:03.725157,44.999
2020-08-03 19:00:03.735534,37.239
2020-08-03 19:00:03.746080,44.399
2020-08-03 19:00:03.756934,34.978
2020-08-03 19:00:03.767021,41.488
2020-08-03 19:00:03.781589,56.089
2020-08-03 19:00:03.792039,49.918
2020-08-03 19:00:03.802547,57.246
2020-08-03 19:00:03.812884,47.577
2020-08-03 19:00:03.82168,73.155
2020-08-03 19:00:03.823336,45.267
2020-08-03 19:00:03.834264,49.941
2020-08-03 19:00:03.847160,39.683
2020-08-03 19:00:03.857830,31.493
2020-08-03 19:00:03.868422,52.533
2020-08-03 19:00:03.878426,52.546
2020-08-03 19:00:03.882420,47.655
2020-08-03 19:00:03.894613,53.736
2020-08-03 19:00:03.903910,49.985
2020-08-03 19:00:03.914497,39.233
2020-08-03 19:00:03.925240,45.532
2020-08-03 19:00:03.93109,62.808
2020-08-03 19:00:03.936195,46.128
2020-08-03 19:00:03.948224,37.359
2020-08-03 19:00:03.957849,49.230
2020-08-03 19:00:03.968368,38.799
2020-08-03 19:00:03.978697,49.561
2020-08-03 19:00:03.989004,46.256
2020-08-03 19:00:03.999590,54.468
2020-08-03 19:00:04.104281,44.581
2020-08-03 19:00:04.114815,38.207
2020-08-03 19:00:04.125589,41.907
2020-08-03 19:00:04.135942,35.193
2020-08-03 19:00:04.146592,46.174
2020-08-03 19:00:04.156927,36.921
2020-08-03 19:00:04.167431,41.616
2020-08-03 19:00:04.177777,33.700
2020-08-03 19:00:04.188397,39.888
2020-08-03 19:00:04.201094,52.185
2020-08-03 19:00:04.20392,51.609
2020-08-03 19:00:04.209508,43.749
2020-08-03 19:00:04.219831,94.677
2020-08-03 19:00:04.230193,87.276
2020-08-03 19:00:04.241053,72.825
2020-08-03 19:00:04.251458,68.725
2020-08-03 19:00:04.262031,54.581
2020-08-03 19:00:04.272364,47.515
2020-08-03 19:00:04.282876,46.680
2020-08-03 19:00:04.293386,41.028
2020-08-03 19:00:04.304257,51.321
2020-08-03 19:00:04.30719,43.589
2020-08-03 19:00:04.314769,39.459
2020-08-03 19:00:04.325275,54.149
2020-08-03 19:00:04.335878,49.155
2020-08-03 19:00:04.346305,45.035
2020-08-03 19:00:04.356720,32.592
2020-08-03 19:00:04.367193,43.673
2020-08-03 19:00:04.377932,34.651
2020-08-03 19:00:04.388394,38.339
2020-08-03 19:00:04.398956,53.832
2020-08-03 19:00:04.409564,45.723
2020-08-03 19:00:04.41209,56.856
2020-08-03 19:00:04.419652,51.521
2020-08-03 19:00:04.429921,45.243
2020-08-03 19:00:04.440430,34.310
2020-08-03 19:00:04.450778,41.701
2020-08-03 19:00:04.461717,48.145
2020-08-03 19:00:04.471884,43.666
2020-08-03 19:00:04.482498,46.005
2020-08-03 19:00:04.492821,34.769
2020-08-03 19:00:04.503742,56.784
2020-08-03 19:00:04.514174,45.243
2020-08-03 19:00:04.51932,49.357
2020-08-03 19:00:04.524732,55.935
2020-08-03 19:00:04.535110,44.827
2020-08-03 19:00:04.546160,43.895
2020-08-03 19:00:04.556621,36.664
2020-08-03 19:00:04.567076,51.986
2020-08-03 19:00:04.577302,44.956
2020-08-03 19:00:04.587838,43.509
2020-08-03 19:00:04.598795,60.934
2020-08-03 19:00:04.609510,53.614
2020-08-03 19:00:04.620040,50.341
2020-08-03 19:00:04.62556,48.075
2020-08-03 19:00:04.630547,37.040
2020-08-03 19:00:04.640839,51.411
2020-08-03 19:00:04.651269,42.682
2020-08-03 19:00:04.661755,51.681
2020-08-03 19:00:04.672262,37.319
2020-08-03 19:00:04.682610,46.921
2020-08-03 19:00:04.692981,40.559
2020-08-03 19:00:04.703479,51.308
2020-08-03 19:00:04.713856,37.483
2020-08-03 19:00:04.724323,47.655
2020-08-03 19:00:04.72790,39.596
2020-08-03 19:00:04.734719,34.492
2020-08-03 19:00:04.745245,45.454
2020-08-03 19:00:04.755609,32.465
2020-08-03 19:00:04.769225,43.718
2020-08-03 19:00:04.777373,35.187
2020-08-03 19:00:04.788019,51.033
2020-08-03 19:00:04.798363,42.414
2020-08-03 19:00:04.808712,45.876
2020-08-03 19:00:04.819580,52.911
2020-08-03 19:00:04.830153,42.442
2020-08-03 19:00:04.83352,45.657
2020-08-03 19:00:04.840492,47.941
2020-08-03 19:00:04.851030,37.116
2020-08-03 19:00:04.861864,45.212
2020-08-03 19:00:04.872246,37.882
2020-08-03 19:00:04.879694,50.506
2020-08-03 19:00:04.890265,38.294
2020-08-03 19:00:04.900785,46.534
2020-08-03 19:00:04.911373,40.721
2020-08-03 19:00:04.922031,47.887
2020-08-03 19:00:04.932508,40.439
2020-08-03 19:00:04.93948,40.502
2020-08-03 19:00:04.943128,45.497
2020-08-03 19:00:04.953749,33.962
2020-08-03 19:00:04.964449,53.236
2020-08-03 19:00:04.975059,45.415
2020-08-03 19:00:04.9828,43.126
2020-08-03 19:00:04.986745,40.260
2020-08-03 19:00:04.996526,32.556
2020-08-03 19:00:05.104317,45.627
2020-08-03 19:00:05.115053,38.169
2020-08-03 19:00:05.125854,45.168
2020-08-03 19:00:05.136670,32.858
2020-08-03 19:00:05.147731,43.959
2020-08-03 19:00:05.158078,50.166
2020-08-03 19:00:05.168576,44.731
2020-08-03 19:00:05.17485,34.312
2020-08-03 19:00:05.179010,50.514
2020-08-03 19:00:05.189354,54.531
2020-08-03 19:00:05.199848,53.787
2020-08-03 19:00:05.210193,45.623
2020-08-03 19:00:05.220666,34.551
2020-08-03 19:00:05.231102,40.349
2020-08-03 19:00:05.241497,49.047
2020-08-03 19:00:05.251946,37.353
2020-08-03 19:00:05.262302,46.678
2020-08-03 19:00:05.272586,34.664
2020-08-03 19:00:05.27950,37.590
2020-08-03 19:00:05.283078,54.912
2020-08-03 19:00:05.293454,46.395
2020-08-03 19:00:05.303998,48.587
2020-08-03 19:00:05.314341,50.951
2020-08-03 19:00:05.327420,43.931
2020-08-03 19:00:05.337781,35.780
2020-08-03 19:00:05.348337,41.680
2020-08-03 19:00:05.358863,32.594
2020-08-03 19:00:05.369341,41.205
2020-08-03 19:00:05.379753,48.803
2020-08-03 19:00:05.390013,42.044
2020-08-03 19:00:05.400516,54.558
2020-08-03 19:00:05.410900,42.721
2020-08-03 19:00:05.41168,47.379
2020-08-03 19:00:05.421361,49.487
2020-08-03 19:00:05.432116,39.771
2020-08-03 19:00:05.442611,47.709
2020-08-03 19:00:05.453018,33.527
2020-08-03 19:00:05.463558,42.783
2020-08-03 19:00:05.473904,46.115
2020-08-03 19:00:05.484418,48.153
2020-08-03 19:00:05.494760,37.348
2020-08-03 19:00:05.505300,43.448
2020-08-03 19:00:05.51604,40.448
2020-08-03 19:00:05.516074,35.168
2020-08-03 19:00:05.526334,47.794
2020-08-03 19:00:05.537030,37.820
2020-08-03 19:00:05.547414,43.527
2020-08-03 19:00:05.557747,31.119
2020-08-03 19:00:05.568641,44.310
2020-08-03 19:00:05.579172,49.282
2020-08-03 19:00:05.589697,34.348
2020-08-03 19:00:05.600061,46.500
2020-08-03 19:00:05.610751,40.364
2020-08-03 19:00:05.621095,57.086
2020-08-03 19:00:05.62163,45.860
2020-08-03 19:00:05.631533,45.282
2020-08-03 19:00:05.642059,52.327
2020-08-03 19:00:05.652803,44.640
2020-08-03 19:00:05.663731,43.373
2020-08-03 19:00:05.674053,37.861
2020-08-03 19:00:05.684532,55.729
2020-08-03 19:00:05.695079,45.349
2020-08-03 19:00:05.705387,42.198
2020-08-03 19:00:05.715791,34.633
2020-08-03 19:00:05.72501,40.423
2020-08-03 19:00:05.726775,41.921
2020-08-03 19:00:05.736964,40.035
2020-08-03 19:00:05.747430,51.882
2020-08-03 19:00:05.758133,40.579
2020-08-03 19:00:05.768475,49.789
2020-08-03 19:00:05.778968,39.089
2020-08-03 19:00:05.789347,52.115
2020-08-03 19:00:05.799754,42.635
2020-08-03 19:00:05.810241,37.636
2020-08-03 19:00:05.820572,48.862
2020-08-03 19:00:05.8282,44.234
2020-08-03 19:00:05.83013,45.776
2020-08-03 19:00:05.831559,38.511
2020-08-03 19:00:05.841969,47.423
2020-08-03 19:00:05.852480,36.797
2020-08-03 19:00:05.862863,44.607
2020-08-03 19:00:05.873340,35.001
2020-08-03 19:00:05.882012,45.841
2020-08-03 19:00:05.891803,33.883
2020-08-03 19:00:05.902488,46.101
2020-08-03 19:00:05.912868,35.831
2020-08-03 19:00:05.923429,48.343
2020-08-03 19:00:05.933956,38.482
2020-08-03 19:00:05.93822,38.703
2020-08-03 19:00:05.944622,45.932
2020-08-03 19:00:05.955191,35.450
2020-08-03 19:00:05.965657,44.617
2020-08-03 19:00:05.976196,31.195
2020-08-03 19:00:05.986981,40.453
2020-08-03 19:00:05.997486,44.220
2020-08-03 19:00:06.105031,45.538
2020-08-03 19:00:06.115385,37.066
2020-08-03 19:00:06.126310,41.966
2020-08-03 19:00:06.136164,34.717
2020-08-03 19:00:06.147180,43.371
2020-08-03 19:00:06.157457,49.346
2020-08-03 19:00:06.169387,39.581
2020-08-03 19:00:06.179168,58.140
2020-08-03 19:00:06.189460,51.254
2020-08-03 19:00:06.19871,45.137
2020-08-03 19:00:06.200039,54.153
2020-08-03 19:00:06.210412,45.408
2020-08-03 19:00:06.220960,49.233
2020-08-03 19:00:06.231246,42.145
2020-08-03 19:00:06.242149,48.278
2020-08-03 19:00:06.252662,36.809
2020-08-03 19:00:06.262963,47.620
2020-08-03 19:00:06.273699,37.924
2020-08-03 19:00:06.284232,52.138
2020-08-03 19:00:06.294559,41.628
2020-08-03 19:00:06.30342,40.598
2020-08-03 19:00:06.305370,45.781
2020-08-03 19:00:06.319876,32.579
2020-08-03 19:00:06.330277,39.879
2020-08-03 19:00:06.340791,32.136
2020-08-03 19:00:06.351613,39.420
2020-08-03 19:00:06.362343,46.984
2020-08-03 19:00:06.372688,38.768
2020-08-03 19:00:06.383239,46.109
2020-08-03 19:00:06.393539,42.423
2020-08-03 19:00:06.404049,52.590
2020-08-03 19:00:06.40965,51.285
2020-08-03 19:00:06.414888,40.698
2020-08-03 19:00:06.425438,46.107
2020-08-03 19:00:06.436238,33.706
2020-08-03 19:00:06.447054,42.765
2020-08-03 19:00:06.457233,36.312
2020-08-03 19:00:06.467726,41.222
2020-08-03 19:00:06.478055,32.791
2020-08-03 19:00:06.488353,44.922
2020-08-03 19:00:06.498902,33.433
2020-08-03 19:00:06.509828,35.819
2020-08-03 19:00:06.51364,40.391
2020-08-03 19:00:06.520439,48.159
2020-08-03 19:00:06.530856,38.141
2020-08-03 19:00:06.541328,50.539
2020-08-03 19:00:06.551745,37.296
2020-08-03 19:00:06.562529,46.941
2020-08-03 19:00:06.572497,35.158
2020-08-03 19:00:06.582998,50.596
2020-08-03 19:00:06.594042,42.052
2020-08-03 19:00:06.604592,51.993
2020-08-03 19:00:06.616674,39.858
2020-08-03 19:00:06.62046,47.998
2020-08-03 19:00:06.625837,47.405
2020-08-03 19:00:06.636075,35.783
2020-08-03 19:00:06.646754,43.866
2020-08-03 19:00:06.656815,32.767
2020-08-03 19:00:06.667281,44.016
2020-08-03 19:00:06.677622,35.316
2020-08-03 19:00:06.688143,41.557
